"name1","name2","period","issue_num","p1","p2"
"lodagro","wesm","20111","447","2","2"
"ghost","hugadams","20121","447","022","22022"
"hugadams","pmacaodh","20121","447","22022","0"
"ghost","pmacaodh","20121","447","022","0"
"hugadams","wesm","20121","447","22022","2"
"pmacaodh","wesm","20121","447","0","2"
"ghost","wesm","20121","447","022","2"
"hugadams","sglyon","20130","447","20","2"
"JamesPHoughton","sglyon","20130","447","2","2"
"nehalecky","sglyon","20130","447","2","2"
"ghost","sglyon","20130","447","2","2"
"ghost","hugadams","20130","447","2","20"
"hugadams","JamesPHoughton","20130","447","20","2"
"ghost","JamesPHoughton","20130","447","2","2"
"hugadams","nehalecky","20130","447","20","2"
"JamesPHoughton","nehalecky","20130","447","2","2"
"ghost","nehalecky","20130","447","2","2"
"jtratner","kevindavenport","20131","447","2","2"
"jreback","kevindavenport","20131","447","2","2"
"jreback","jtratner","20131","447","2","2"
"ghost","jreback","20140","447","222","21"
"JamesRamm","jreback","20140","447","2","21"
"ghost","JamesRamm","20140","447","222","2"
"denfromufa","summerela","20151","447","2","2"
"lbeltrame","wesm","20111","450","22221","022"
"lodagro","wesm","20111","450","0","022"
"lbeltrame","lodagro","20111","450","22221","0"
"lodagro","wesm","20111","453","22","12"
"andreas-h","wesm","20111","454","2","2"
"jankatins","lodagro","20111","455","000","0"
"lodagro","wesm","20111","455","0","2022"
"jankatins","wesm","20111","455","000","2022"
"jankatins","wesm","20120","455","1","2"
"mwiebe","wesm","20111","458","22","2222"
"reckoner","wesm","20111","458","1","2222"
"mwiebe","reckoner","20111","458","22","1"
"CRP","jreback","20140","459","0","22"
"sjev","wesm","20111","463","2","2"
"stig","wesm","20120","464","1","22"
"lodagro","wesm","20111","471","1","2"
"ghost","lodagro","20121","472","2","2"
"lodagro","wesm","20111","476","1","0"
"mattharrison","wesm","20111","478","2","22"
"CRP","wesm","20111","483","2","2"
"mattharrison","wesm","20111","485","0","12"
"craustin","wesm","20111","488","2","22"
"craustin","wesm","20111","489","2","2"
"lodagro","wesm","20111","489","2","2"
"craustin","lodagro","20111","489","2","2"
"jankatins","wesm","20111","497","21","2"
"craustin","wesm","20111","500","2","2"
"dieterv77","wesm","20111","503","0","111"
"timClicks","wesm","20111","504","2","2102"
"gregglind","wesm","20111","504","12","2102"
"gregglind","timClicks","20111","504","12","2"
"solomon-negusse","wesm","20111","505","21","21"
"reckoner","wesm","20111","509","1","222"
