a,degree,s
angryoxen,4,1.0
MaximilianKoestler,8,1.0
cschwem2er,3,1.0
scajanus,2,1.0
Airatvi,3,1.0
underthecurve,5,1.0
idella,1,1.0
Seuss27,2,1.0
KalyanGokhale,29,1.0
Poincare,2,1.0
dan-tee,4,1.0
lstappen,4,0.0
esthers,9,1.0
mattip,25,0.9175
matthias-k,1,1.0
Shirui816,2,1.0
haroldfox,2,1.0
drussellmrichie,2,1.0
DanCardin,1,1.0
sp3234,2,1.0
iosonofabio,7,0.33
costrouc,3,0.0
yojineko,4,1.0
reidy-p,88,1.0
floux,7,1.0
bolkedebruin,1,1.0
sbasumal,1,1.0
alberthdev,1,1.0
ali-tny,1,1.0
dfaivre,2,0.0
danielwang5,2,1.0
helenjiangyh,4,1.0
esvhd,22,1.0
dieterv77,40,1.0
franz101,3,1.0
lesshaste,2,1.0
robert-zaremba,5,1.0
mrlnc,3,1.0
tsabsch,2,1.0
lorenzocestaro,2,1.0
mvds314,6,0.75
jbschiratti,4,0.88
janelle,6,1.0
mariuspot,3,1.0
hannahlindsley,3,1.0
mjharte,1,0.0
NathanielCapital,4,1.0
CrossNox,6,1.0
vertan,2,1.0
colin1alexander,9,1.0
chetanchougle,2,1.0
markemus,3,1.0
bgbg,2,1.0
fcolas,1,1.0
joshowen,8,0.61
choma1,3,1.0
srinivasreddy,17,1.0
jdh2358,1,1.0
JayOfferdahl,4,0.8200000000000001
spencerogden,11,1.0
mefergus,1,1.0
Jaisu-1,5,1.0
JoKeyser,2,0.5
waltonjones,7,1.0
labodyn,4,1.0
bscully27,12,1.0
pzakielarz,4,0.5
jamescasbon,2,1.0
colinfang,6,1.0
mrparsaeian,19,1.0
sharad-vm,3,0.0
Ouwen,2,1.0
ash13,7,1.0
huyng,2,1.0
aechase,12,1.0
ron819,41,1.0
mircea-cosbuc,1,1.0
leifwalsh,6,1.0
ProfPh,1,0.6
benkuhn,4,1.0
FHaase,63,1.0
yidatao,1,1.0
markyoder,6,1.0
sburns,4,1.0
JanLauGe,7,0.8
xmnlab,4,1.0
ahowl7mx,8,1.0
reidhin,1,1.0
metasyn,12,1.0
jlopezpena,4,1.0
antoinecomp,3,0.5
GitOffice,11,1.0
EpochalEngineer,2,1.0
mlangiu,2,1.0
madphysicist,2,1.0
jlricon,4,1.0
egslava,2,1.0
seidapps,15,1.0
willembressers,1,1.0
gzcf,2,0.5
poplarShift,1,1.0
qingkaikong,1,1.0
Pabla007,2,1.0
NirantK,12,1.0
andrewryno,8,0.8
manojpandey,4,1.0
stakas,1,1.0
fridiculous,8,1.0
bkasel,3,0.92
robinsonjj,2,1.0
ayorgo,1,1.0
talltom,1,1.0
jonwtan,1,0.5
coreycb,4,0.0
allenqm,2,1.0
bourbaki,16,0.9825
puterleat,5,1.0
sancau,10,1.0
uweschmitt,3,1.0
markns,2,1.0
syduan,3,1.0
VladMironov,2,1.0
