name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
takluyver,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
PhE,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
brentp,wesm,20111,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
brentp,PhE,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
takluyver,wesm,20111,14,0,0,2,0.56,0.0,0.0,0.08,10,1,0.8,0.6
CRP,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
adamklein,lodagro,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
adamklein,wesm,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
baldwint,kghose,20130,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
cpcloud,kghose,20130,8,0,0,0,0.57,0.0,0.0,0.0,9,1,0.5700000000000001,1.0
jreback,kghose,20130,16,0,0,0,1.0,0.0,0.0,0.0,10,1,1.0,1.0
baldwint,cpcloud,20130,7,0,0,3,0.5,0.0,0.0,0.21,9,1,0.5,0.5700000000000001
baldwint,jreback,20130,8,0,0,0,0.5,0.0,0.0,0.0,10,1,0.5,1.0
cpcloud,jreback,20130,32,0,0,0,0.57,0.0,0.0,0.0,15,1,0.5700000000000001,1.0
jreback,njsmith,20131,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
dragoljub,njsmith,20131,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
dragoljub,jreback,20131,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
creeson,wesm,20111,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
creeson,wesm,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
takluyver,wesm,20111,25,0,0,0,0.83,0.0,0.0,0.0,11,1,1.0,1.0
