name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
7kbird,mr-kenhoff,1.0,0.0,0.0,0.0,1.0,1.0,5,5,1,0,0,0,1,2
7kbird,spool,1.0,0.0,0.0,0.0,1.0,1.0,5,7,1,0,0,0,1,2
7stud,hayd,0.5,0.0,0.0,0.17,0.5,0.6699999999999999,1,1289,3,0,0,1,1,5
8one6,TomAugspurger,0.22333333333333336,0.3333333333333333,0.22333333333333336,0.0,1.0,0.6666666666666666,29,9311,2,1,2,0,3,8
8one6,aschilling,0.33,0.0,0.0,0.0,1.0,1.0,29,20,1,0,0,0,1,4
8one6,attack68,1.0,0.0,1.0,0.0,1.0,1.0,29,4,1,0,1,0,1,2
8one6,behzadnouri,1.0,0.0,0.0,0.0,1.0,1.0,29,147,4,0,0,0,1,4
8one6,cpcloud,0.67,0.0,0.67,0.0,1.0,1.0,29,2545,2,0,2,0,1,4
8one6,denfromufa,0.33,0.0,0.0,0.0,1.0,1.0,29,116,1,0,0,0,1,4
8one6,eronlloyd,0.67,0.0,0.67,0.0,1.0,1.0,29,10,2,0,2,0,1,4
8one6,fancychildren,0.5,0.0,0.5,0.0,1.0,1.0,29,6,2,0,2,0,1,4
8one6,geoffrey-eisenbarth,0.67,0.0,0.67,0.0,1.0,1.0,29,13,2,0,2,0,1,4
8one6,gfyoung,1.0,0.0,1.0,0.0,1.0,1.0,29,4256,1,0,1,0,1,2
8one6,hayd,0.495,0.0,0.085,0.0,1.0,1.0,29,1289,17,0,2,0,2,17
8one6,jorisvandenbossche,0.52,0.0,0.0,0.0,0.9299999999999999,1.0,29,10540,16,0,0,0,2,14
8one6,jreback,0.51125,0.005,0.07250000000000001,0.0025,0.9825,0.985,29,28609,92,2,11,1,8,73
8one6,mroeschke,0.43,0.0,0.43,0.0,1.0,1.0,29,1295,3,0,3,0,1,8
8one6,mwiebusch78,0.67,0.0,0.67,0.0,1.0,1.0,29,18,2,0,2,0,1,4
8one6,shoyer,1.0,0.0,1.0,0.0,1.0,1.0,29,2338,2,0,2,0,1,3
8one6,tlmaloney,0.71,0.0,0.0,0.0,1.0,0.93,29,6,20,0,0,0,1,16
8one6,wesm,0.0,0.0,0.0,0.0,1.0,1.0,29,2558,0,0,0,0,1,3
AHoke,jorisvandenbossche,1.0,0.0,0.0,0.0,1.0,1.0,2,10540,2,0,0,0,1,3
AHoke,weakunix,0.0,0.0,0.0,0.0,1.0,1.0,2,2,0,0,0,0,1,2
AKuederle,TomAugspurger,0.0,0.0,0.0,0.0,0.5,1.0,6,9311,0,0,0,0,1,3
AKuederle,WillAyd,0.5,0.0,0.17,0.0,1.0,1.0,6,2735,3,0,1,0,1,5
AKuederle,gfyoung,0.0,0.5,0.0,0.0,1.0,0.0,6,4256,0,1,0,0,1,3
AKuederle,jorisvandenbossche,0.25,0.0,0.0,0.0,0.75,1.0,6,10540,1,0,0,0,2,6
AKuederle,jreback,0.5,0.0,0.0,0.0,1.0,1.0,6,28609,1,0,0,0,1,3
ALShum,jreback,1.0,0.0,0.0,0.0,1.0,1.0,1,28609,1,0,0,0,1,2
AMFIRNAS,AmnaKhan1,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,RANAJITGIT,0.5,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,3
AMFIRNAS,RobStelling,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,Sonupival6,0.0,0.0,0.0,0.0,1.0,1.0,19,19,0,0,0,0,1,2
AMFIRNAS,TomAugspurger,1.0,0.0,0.0,0.0,1.0,1.0,19,9311,1,0,0,0,1,2
AMFIRNAS,Wessi,0.5,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,3
AMFIRNAS,datomnurdin,0.5,0.0,0.0,0.0,1.0,1.0,19,37,1,0,0,0,1,3
AMFIRNAS,dduque10,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,gbabic,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,gfyoung,1.0,0.0,0.0,0.0,1.0,1.0,19,4256,3,0,0,0,1,4
AMFIRNAS,jreback,1.0,0.0,0.0,0.0,1.0,1.0,19,28609,3,0,0,0,1,4
AMFIRNAS,mrparsaeian,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,pavankat,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,ram1421,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,scls19fr,1.0,0.0,0.0,0.0,1.0,1.0,19,124,1,0,0,0,1,2
AMFIRNAS,siposmiki,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,thomasschijf,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AMFIRNAS,vinrok,1.0,0.0,0.0,0.0,1.0,1.0,19,19,1,0,0,0,1,2
AP23,jreback,1.0,0.0,0.0,0.0,1.0,1.0,2,28609,3,0,0,0,1,4
AP23,jtratner,1.0,0.0,0.0,0.0,1.0,1.0,2,2092,1,0,0,0,1,2
ARF1,TomAugspurger,0.5,0.0,0.0,0.0,1.0,1.0,16,9311,1,0,0,0,1,3
ARF1,auvipy,0.33,0.0,0.0,0.0,0.83,1.0,16,13,2,0,0,0,1,7
ARF1,hayd,0.2,0.0,0.0,0.0,1.0,1.0,16,1289,2,0,0,0,1,7
ARF1,immerrr,0.2,0.0,0.0,0.0,1.0,1.0,16,267,1,0,0,0,1,6
ARF1,jorisvandenbossche,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.0,1.0,0.6666666666666666,16,10540,4,1,4,0,3,11
ARF1,jreback,0.47000000000000003,0.04,0.16,0.006,0.916,0.96,16,28609,20,6,11,1,5,32
ARF1,shoyer,0.2925,0.125,0.10500000000000001,0.0075,0.77,0.9575,16,2338,21,9,11,1,4,31
ATPs,WillAyd,1.0,0.0,0.0,0.0,1.0,1.0,1,2735,1,0,0,0,1,2
AVI18794,jorisvandenbossche,1.0,0.0,0.0,0.0,1.0,1.0,1,10540,1,0,0,0,1,2
AaronCritchley,TomAugspurger,0.5,0.0,0.33,0.0,1.0,1.0,17,9311,6,0,4,0,1,8
AaronCritchley,WillAyd,0.67,0.0,0.0,0.0,1.0,1.0,17,2735,2,0,0,0,1,4
AaronCritchley,codecov[bot],0.44333333333333336,0.0,0.0,0.0,1.0,1.0,17,10328,3,0,0,0,3,11
AaronCritchley,datapythonista,0.0,0.33,0.0,0.0,1.0,0.0,17,1385,0,1,0,0,1,4
AaronCritchley,jbrockmendel,0.0,0.0,0.0,0.0,1.0,1.0,17,2663,0,0,0,0,1,2
AaronCritchley,jreback,0.5,0.0,0.0,0.0,1.0,1.0,17,28609,13,0,0,0,6,25
AaronCritchley,pep8speaks,0.335,0.0,0.335,0.0,1.0,0.5,17,5120,4,0,4,0,2,9
AaronCritchley,topper-123,0.33,0.0,0.0,0.0,1.0,1.0,17,455,2,0,0,0,1,7
AaronCritchley,tzyl,0.67,0.0,0.0,0.0,1.0,1.0,17,4,2,0,0,0,1,4
