a1,a2,c,co_cmt_cnt,co_issue_cnt,date,ic,nc,pc
Amyunimus,onesandzeroes,1,2,1,2014-07,0,0,0
Amyunimus,sinhrks,6,7,1,2014-07,0,0,0
Anaphory,jreback,0,4,1,2016-07,0,0,0
Anaphory,paulproteus,1,2,1,2012-12,0,1,0
Anaphory,wesm,0,3,1,2012-12,0,0,0
AndreiKeino,TomAugspurger,2,5,1,2018-06,1,0,0
AndresGlez,jorisvandenbossche,2,3,1,2015-11,0,0,0
AndresGlez,rockg,1,2,1,2015-11,0,0,0
AndrewArcher,TomAugspurger,3,4,1,2017-05,0,0,0
AndrewArcher,Zhang18,2,4,1,2017-05,0,0,0
AndrewArcher,jreback,2,4,1,2017-05,0,0,0
AndrewRook,chris-b1,0,2,1,2017-06,0,0,0
AndrewUshakov,jreback,2,5,1,2014-04,1,0,0
AngryMaciek,jreback,3,4,1,2017-02,0,0,0
Anjali2019,codecov[bot],0,2,1,2018-09,0,0,0
Anjali2019,h-vetinari,4,11,3,2018-09,0,0,2
Anjali2019,jreback,0,2,1,2018-09,0,0,0
Anjali2019,pep8speaks,0,4,2,2018-09,0,0,0
AnkurDedania,TomAugspurger,1,3,1,2016-03,0,0,0
AnkurDedania,jorisvandenbossche,1,2,1,2017-01,0,0,0
AnkurDedania,jreback,4,6,1,2016-03,0,0,1
AnkurDedania,jreback,1,2,1,2017-01,0,0,0
AnnamalaiNagappan,jorisvandenbossche,1,3,1,2016-06,0,0,0
AnnamalaiNagappan,jreback,1,3,1,2016-06,0,0,0
AnthonyGaruccio,TomAugspurger,0,2,1,2018-03,0,0,0
AnthonyGaruccio,jreback,1,2,1,2018-03,0,0,1
AntoineD,TomAugspurger,1,2,1,2018-10,0,0,0
AntoineD,TrigonaMinima,0,2,1,2019-02,0,0,0
AntoineD,chris-b1,1,3,1,2019-02,0,0,0
Anton-vBR,jreback,1,2,1,2017-12,0,0,0
AntonioSecchi,TomAugspurger,2,3,1,2019-01,0,0,0
Antsypc,WillAyd,6,6,1,2019-01,0,0,0
Antsypc,jreback,3,5,1,2019-01,0,0,0
