name1,name2,period,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
jreback,ryankarlos,20180,0.33,0.12,0.09,0.0,1.0,0.64,11,4,3,0,1,14
jreback,ryankarlos,20181,0.6525,0.0,0.095,0.0,1.0,0.9175,14,0,3,0,4,29
jreback,ryankarlos,20190,0.66,0.0,0.0,0.0,1.0,0.8466666666666667,16,0,0,0,3,26
jreback,ryanorsinger,20190,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
jreback,ryanpeach,20170,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
jreback,ryanshrott,20171,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,s-trooper,20171,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
jreback,saddy001,20170,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sadruddin,20131,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,5
jreback,sadruddin,20140,0.48,0.04,0.04,0.0,0.9400000000000001,0.8333333333333334,12,1,1,0,3,23
jreback,sadruddin,20161,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sahildua2305,20161,0.5527272727272727,0.045454545454545456,0.007272727272727273,0.0,0.9545454545454546,1.0,43,2,1,0,11,56
jreback,saitam1,20171,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
jreback,sakarpanta,20190,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sakulkar,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sakurai-youhei,20161,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,sam-cohan,20171,0.5,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,5
jreback,sam-cohan,20180,0.335,0.0,0.0,0.0,0.5,1.0,2,0,0,0,2,6
jreback,sam-s,20171,0.6,0.0,0.0,0.0,1.0,0.6,6,0,0,0,1,7
jreback,samcan,20181,0.65,0.0,0.0,0.0,1.0,1.0,21,0,0,0,2,13
jreback,samkennerly,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,samkuehn,20160,0.6,0.0,0.0,0.07,0.6699999999999999,0.8,9,0,0,1,1,8
jreback,samronsin,20181,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,samspills,20190,0.33,0.17,0.0,0.0,0.6699999999999999,1.0,4,2,0,0,1,8
jreback,samuelclark,20151,0.75,0.0,0.25,0.0,1.0,1.0,5,0,1,0,2,7
jreback,samueljohn,20151,0.5,0.0,0.0,0.5,0.5,0.0,1,0,0,1,1,3
jreback,samuelsinayoko,20180,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,samuelsinayoko,20190,0.915,0.0,0.0,0.0,1.0,0.915,16,0,0,0,2,11
jreback,samzhang111,20160,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
jreback,sanand0,20131,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sancau,20170,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,sandbox,20151,0.33,0.0,0.33,0.0,1.0,1.0,3,0,3,0,1,6
jreback,sandeepdas,20180,0.67,0.0,0.0,0.0,0.83,1.0,4,0,0,0,1,7
jreback,sandhujasmine,20151,0.25,0.5,0.0,0.25,0.25,0.5,1,1,0,1,2,5
jreback,sandorkazi,20140,0.5,0.0,0.25,0.0,1.0,1.0,2,0,1,0,1,4
jreback,sandrotosi,20141,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
jreback,sandys,20160,0.24,0.08,0.0,0.08,0.8,0.6,6,2,0,2,1,10
jreback,sanguineturtle,20130,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sanguineturtle,20141,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
jreback,sanmai-NL,20140,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,santegoeds,20150,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,santegoeds,20151,0.43,0.0,0.013333333333333334,0.0,1.0,1.0,36,0,2,0,3,22
jreback,saroele,20151,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,3
jreback,saullocastro,20130,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,saurav2608,20181,0.5383333333333333,0.03333333333333333,0.08833333333333333,0.0,1.0,0.9283333333333333,42,2,2,0,6,40
jreback,saurav2608,20190,0.8575,0.005,0.0,0.005,0.9725,0.965,97,1,0,1,4,40
jreback,sbasumal,20171,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
jreback,sboehler,20140,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,10,0,0,0,1,8
jreback,sboehler,20141,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,sborgeson,20150,0.8,0.0,0.3,0.0,1.0,1.0,7,0,6,0,2,9
jreback,sbtlaarzc,20151,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
jreback,sbuser,20160,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
jreback,scarabeusiv,20190,0.0,0.33,0.0,0.0,1.0,0.0,0,1,0,0,1,4
jreback,scari,20150,0.73,0.02,0.39666666666666667,0.0,0.9166666666666666,1.0,9,1,5,0,3,15
jreback,scari,20151,0.45999999999999996,0.04,0.125,0.02,0.875,0.915,12,2,1,1,2,14
jreback,scari,20160,0.575,0.0,0.125,0.0,1.0,1.0,7,0,2,0,4,14
jreback,scari,20171,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
jreback,scari,20181,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
jreback,scarrucciu,20150,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
jreback,scarrucciu,20151,1.0,0.0,0.0,0.0,1.0,1.0,6,0,0,0,1,5
jreback,schettino72,20151,1.0,0.0,1.0,0.0,1.0,1.0,3,0,3,0,2,5
jreback,schettino72,20180,0.585,0.0,0.0,0.0,1.0,0.75,6,0,0,0,2,10
jreback,schettino72,20181,0.5,0.0,0.0,0.5,0.5,0.0,1,0,0,1,1,3
jreback,scheung38,20170,0.75,0.0,0.0,0.0,1.0,1.0,2,0,0,0,2,5
jreback,scheung38,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,schmohlio,20150,0.64,0.0,0.0,0.0,1.0,1.0,14,0,0,0,1,13
jreback,schodge,20140,0.8,0.0,0.035,0.5,0.5,0.5,10,0,1,1,2,10
jreback,scholz,20171,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,schryer,20150,1.0,0.0,0.0,0.0,1.0,1.0,7,0,0,0,2,7
jreback,schwallie,20130,1.0,0.0,0.0,0.0,1.0,1.0,5,0,0,0,1,6
jreback,schwallie2,20151,0.67,0.0,0.0,0.0,1.0,0.6699999999999999,10,0,0,0,1,8
jreback,sciunto,20160,0.5,0.0,0.0,0.0,1.0,0.5,7,0,0,0,1,9
jreback,scls19fr,20140,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
jreback,scls19fr,20141,0.6671428571428571,0.014285714285714287,0.07142857142857142,0.0071428571428571435,0.9757142857142858,0.8157142857142857,19,4,1,2,7,31
jreback,scls19fr,20150,0.8616666666666667,0.0,0.028333333333333335,0.0,1.0,0.945,20,0,1,0,6,26
jreback,scls19fr,20151,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,5,0,0,0,3,9
jreback,scls19fr,20160,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,scls19fr,20161,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
jreback,scls19fr,20171,0.75,0.0,0.0,0.0,1.0,0.9166666666666666,16,0,0,0,6,18
jreback,scls19fr,20180,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
jreback,scoder,20171,0.0,0.12,0.0,0.0,1.0,0.0,0,1,0,0,1,9
jreback,scoder,20181,0.0,0.5,0.0,0.0,1.0,0.5,0,1,0,0,2,4
jreback,scootty1,20180,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
jreback,scottkidder,20130,0.5599999999999999,0.0,0.05,0.0,0.96,1.0,15,0,2,0,5,25
jreback,sdementen,20140,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
jreback,sdementen,20161,0.7766666666666667,0.0,0.0,0.11,0.89,0.6666666666666666,3,0,0,1,3,8
jreback,sdementen,20170,0.40499999999999997,0.10250000000000001,0.02,0.0,0.855,0.9,151,2,1,0,4,43
jreback,sdispater,20171,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,2
jreback,se7entyse7en,20161,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
jreback,sealauren,20140,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
jreback,sean-schaefer,20131,0.35,0.1,0.05,0.04,0.9,0.64,38,11,6,4,1,21
jreback,sean-schaefer,20141,0.92,0.0,0.0,0.0,1.0,1.0,60,0,0,0,1,18
