name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AKuederle,jreback,2018-08,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
ALShum,jreback,2014-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AMFIRNAS,gfyoung,2017-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AMFIRNAS,pavankat,2017-07,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AP23,jreback,2013-09,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AP23,jtratner,2013-09,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
ARF1,TomAugspurger,2015-05,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
ARF1,hayd,2015-04,0.2,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,6
ARF1,jorisvandenbossche,2015-04,0.8,0.0,0.8,0.0,1.0,1.0,4,0,4,0,1,6
ARF1,jorisvandenbossche,2015-05,0.0,0.5,0.0,0.0,1.0,0.5,0,1,0,0,2,5
ARF1,jreback,2015-04,0.35000000000000003,0.06666666666666667,0.19999999999999998,0.0,0.85,1.0,14,3,9,0,3,22
ARF1,jreback,2015-05,0.5566666666666666,0.0,0.22333333333333336,0.0,1.0,0.6666666666666666,3,0,2,0,3,8
ARF1,shoyer,2015-04,0.4925,0.05,0.1325,0.0,0.8875,1.0,17,4,11,0,4,25
ARF1,shoyer,2015-05,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,2,4
ATPs,WillAyd,2018-08,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AVI18794,jorisvandenbossche,2018-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,TomAugspurger,2018-02,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AaronCritchley,TomAugspurger,2018-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AaronCritchley,codecov[bot],2017-11,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,codecov[bot],2017-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,codecov[bot],2018-02,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,datapythonista,2018-09,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
