"name1","name2","period","issue_num","p1","p2"
"karona75","xan2622","20150","7448","2","22"
"obrakmann","xan2622","20150","7448","2","22"
"LipkeGu","xan2622","20150","7448","22","22"
"karona75","obrakmann","20150","7448","2","2"
"LipkeGu","obrakmann","20150","7448","22","2"
"karona75","LipkeGu","20150","7448","2","22"
"penev92","Phrohdoh","20150","7449","22","2"
"Mailaender","Phrohdoh","20150","7449","22","2"
"DaveAxiom","Phrohdoh","20150","7449","20","2"
"Micr0Bit","Phrohdoh","20150","7449","0","2"
"Mailaender","penev92","20150","7449","22","22"
"DaveAxiom","penev92","20150","7449","20","22"
"Micr0Bit","penev92","20150","7449","0","22"
"DaveAxiom","Mailaender","20150","7449","20","22"
"Phrohdoh","Unit158","20150","7449","2","0"
"penev92","Unit158","20150","7449","22","0"
"Mailaender","Unit158","20150","7449","22","0"
"DaveAxiom","Unit158","20150","7449","20","0"
"Micr0Bit","Unit158","20150","7449","0","0"
"Mailaender","Micr0Bit","20150","7449","22","0"
"DaveAxiom","Micr0Bit","20150","7449","20","0"
"Computerfreaked","pchote","20150","7450","1","2"
"pchote","rmoriz","20151","7451","2222","2"
"Mailaender","penev92","20150","7452","222","22"
"MustaphaTR","penev92","20150","7452","2","22"
"pchote","penev92","20150","7452","222","22"
"Mailaender","xan2622","20150","7452","222","2"
"penev92","xan2622","20150","7452","22","2"
"MustaphaTR","xan2622","20150","7452","2","2"
"pchote","xan2622","20150","7452","222","2"
"Mailaender","MustaphaTR","20150","7452","222","2"
"Mailaender","pchote","20150","7452","222","222"
"MustaphaTR","pchote","20150","7452","2","222"
"chrisforbes","Nelax","20150","7453","2","202"
"Computerfreaked","Nelax","20150","7453","2","202"
"chrisforbes","Computerfreaked","20150","7453","2","2"
"Nelax","obrakmann","20150","7453","202","2"
"chrisforbes","obrakmann","20150","7453","2","2"
"Computerfreaked","obrakmann","20150","7453","2","2"
"Computerfreaked","Nelax","20150","7454","2","00"
"Nelax","obrakmann","20150","7454","00","20"
"Computerfreaked","obrakmann","20150","7454","2","20"
"Nelax","Unit158","20150","7454","00","2"
"Computerfreaked","Unit158","20150","7454","2","2"
"obrakmann","Unit158","20150","7454","20","2"
"obrakmann","Unit158","20170","7454","2","2"
"Nelax","obrakmann","20150","7454","00","2"
"Computerfreaked","obrakmann","20150","7454","2","2"
"pchote","Phrohdoh","20150","7456","20","22"
"Mailaender","Phrohdoh","20150","7456","2","22"
"penev92","Phrohdoh","20150","7456","2","22"
"Mailaender","pchote","20150","7456","2","20"
"pchote","penev92","20150","7456","20","2"
"Mailaender","penev92","20150","7456","2","2"
"Phrohdoh","rappo","20150","7456","22","11"
"pchote","rappo","20150","7456","20","11"
"Mailaender","rappo","20150","7456","2","11"
"penev92","rappo","20150","7456","2","11"
"pchote","Phrohdoh","20150","7457","122202","2"
"Mailaender","Phrohdoh","20150","7457","202222","2"
"penev92","Phrohdoh","20150","7457","22","2"
"Mailaender","pchote","20150","7457","202222","122202"
"pchote","penev92","20150","7457","122202","22"
"Mailaender","penev92","20150","7457","202222","22"
"ghost","ihptru","20150","7458","1","2"
"ihptru","obrakmann","20150","7458","2","2"
"Mailaender","obrakmann","20150","7458","212","2"
"ghost","obrakmann","20150","7458","1","2"
"Mailaender","obrakmann","20151","7458","2","2"
"ihptru","pchote","20150","7458","2","22"
"obrakmann","pchote","20150","7458","2","22"
"Mailaender","pchote","20150","7458","212","22"
"ghost","pchote","20150","7458","1","22"
"Mailaender","pchote","20151","7458","2","22"
"ihptru","Mailaender","20150","7458","2","212"
"ghost","Mailaender","20150","7458","1","212"
"ihptru","SoScared","20150","7458","2","2"
"obrakmann","SoScared","20150","7458","2","2"
"pchote","SoScared","20150","7458","22","2"
"Mailaender","SoScared","20150","7458","212","2"
"ghost","SoScared","20150","7458","1","2"
"Mailaender","SoScared","20151","7458","2","2"
"ihptru","Mailaender","20150","7458","2","2"
"ghost","Mailaender","20150","7458","1","2"
"Mailaender","pchote","20150","7460","2222","220"
"obrakmann","pchote","20150","7460","222","220"
"Mailaender","obrakmann","20150","7460","2222","222"
"Mailaender","Nelax","20150","7461","222222222","2"
"Mailaender","pchote","20150","7461","222222222","2222222"
"Nelax","pchote","20150","7461","2","2222222"
"obrakmann","pchote","20150","7461","10","2222222"
"Mailaender","reaperrr","20150","7461","222222222","2"
"Nelax","reaperrr","20150","7461","2","2"
"pchote","reaperrr","20150","7461","2222222","2"
"obrakmann","reaperrr","20150","7461","10","2"
"Mailaender","obrakmann","20150","7461","222222222","10"
"Nelax","obrakmann","20150","7461","2","10"
"abcdefg30","Mailaender","20150","7462","2","22"
"Phrohdoh","Smith00101010","20150","7463","2","222220222"
"Mailaender","Smith00101010","20150","7463","22222","222220222"
"obrakmann","Smith00101010","20150","7463","02020","222220222"
"pchote","Smith00101010","20150","7463","2","222220222"
"abcdefg30","Smith00101010","20150","7463","2","222220222"
"penev92","Smith00101010","20150","7463","2","222220222"
"Mailaender","Phrohdoh","20150","7463","22222","2"
"obrakmann","Phrohdoh","20150","7463","02020","2"
"pchote","Phrohdoh","20150","7463","2","2"
"abcdefg30","Phrohdoh","20150","7463","2","2"
"penev92","Phrohdoh","20150","7463","2","2"
"abcdefg30","Mailaender","20150","7463","2","22222"
"Mailaender","obrakmann","20150","7463","22222","02020"
"abcdefg30","obrakmann","20150","7463","2","02020"
"Mailaender","pchote","20150","7463","22222","2"
"obrakmann","pchote","20150","7463","02020","2"
"abcdefg30","pchote","20150","7463","2","2"
"Mailaender","penev92","20150","7463","22222","2"
"obrakmann","penev92","20150","7463","02020","2"
"pchote","penev92","20150","7463","2","2"
"abcdefg30","penev92","20150","7463","2","2"
"GeertJohan","Unit158","20150","7465","02","22"
"ihptru","Unit158","20150","7465","0","22"
"LipkeGu","Unit158","20150","7465","2","22"
"GeertJohan","ihptru","20150","7465","02","0"
"GeertJohan","LipkeGu","20150","7465","02","2"
"ihptru","LipkeGu","20150","7465","0","2"
"cjshmyr","MustaphaTR","20150","7466","2","1"
"GraionDilach","MustaphaTR","20150","7466","22","1"
"MustaphaTR","Unit158","20150","7466","1","2"
"cjshmyr","Unit158","20150","7466","2","2"
"Phrohdoh","Unit158","20150","7466","22","2"
"penev92","Unit158","20150","7466","22","2"
"GraionDilach","Unit158","20150","7466","22","2"
"MustaphaTR","Phrohdoh","20150","7466","1","22"
"cjshmyr","Phrohdoh","20150","7466","2","22"
"penev92","Phrohdoh","20150","7466","22","22"
"GraionDilach","Phrohdoh","20150","7466","22","22"
"MustaphaTR","penev92","20150","7466","1","22"
"cjshmyr","penev92","20150","7466","2","22"
"GraionDilach","penev92","20150","7466","22","22"
"MustaphaTR","xan2622","20150","7466","1","22"
"Unit158","xan2622","20150","7466","2","22"
"cjshmyr","xan2622","20150","7466","2","22"
"Phrohdoh","xan2622","20150","7466","22","22"
"penev92","xan2622","20150","7466","22","22"
"GraionDilach","xan2622","20150","7466","22","22"
"cjshmyr","GraionDilach","20150","7466","2","22"
"GeertJohan","ScottNZ","20150","7467","202","2"
"pchote","ScottNZ","20150","7467","2","2"
"penev92","ScottNZ","20150","7467","2","2"
"Phrohdoh","ScottNZ","20150","7467","21","2"
"GeertJohan","pchote","20150","7467","202","2"
"GeertJohan","penev92","20150","7467","202","2"
"pchote","penev92","20150","7467","2","2"
"GeertJohan","Phrohdoh","20150","7467","202","21"
"pchote","Phrohdoh","20150","7467","2","21"
"penev92","Phrohdoh","20150","7467","2","21"
"MunWolf","penev92","20150","7468","1","22222"
"Mailaender","penev92","20150","7468","2","22222"
"obrakmann","penev92","20150","7468","20","22222"
"pchote","penev92","20150","7468","222","22222"
"Mailaender","MunWolf","20150","7468","2","1"
"MunWolf","obrakmann","20150","7468","1","20"
"Mailaender","obrakmann","20150","7468","2","20"
"MunWolf","pchote","20150","7468","1","222"
"Mailaender","pchote","20150","7468","2","222"
"obrakmann","pchote","20150","7468","20","222"
"matija-hustic","MustaphaTR","20150","7469","2","2"
"MustaphaTR","penev92","20150","7469","2","22"
"matija-hustic","penev92","20150","7469","2","22"
"MustaphaTR","Phrohdoh","20150","7469","2","2"
"penev92","Phrohdoh","20150","7469","22","2"
"matija-hustic","Phrohdoh","20150","7469","2","2"
"Mailaender","penev92","20150","7471","1","2"
"Phrohdoh","xan2622","20150","7474","22222","222210222"
"penev92","xan2622","20150","7474","02","222210222"
"Mailaender","xan2622","20150","7474","012222222","222210222"
"pchote","xan2622","20150","7474","22","222210222"
"dan9550","xan2622","20150","7474","022","222210222"
"penev92","Phrohdoh","20150","7474","02","22222"
"Mailaender","Phrohdoh","20150","7474","012222222","22222"
"pchote","Phrohdoh","20150","7474","22","22222"
"dan9550","Phrohdoh","20150","7474","022","22222"
"Mailaender","penev92","20150","7474","012222222","02"
"pchote","penev92","20150","7474","22","02"
"dan9550","penev92","20150","7474","022","02"
"dan9550","Mailaender","20150","7474","022","012222222"
"Mailaender","pchote","20150","7474","012222222","22"
"dan9550","pchote","20150","7474","022","22"
"abcdefg30","Mailaender","20150","7475","11212222","22"
"abcdefg30","pchote","20150","7475","11212222","22212"
"Mailaender","pchote","20150","7475","22","22212"
"obrakmann","pchote","20150","7475","2221","22212"
"abcdefg30","obrakmann","20150","7475","11212222","2221"
"Mailaender","obrakmann","20150","7475","22","2221"
"abcdefg30","Unit158","20150","7475","11212222","2"
"Mailaender","Unit158","20150","7475","22","2"
"pchote","Unit158","20150","7475","22212","2"
"obrakmann","Unit158","20150","7475","2221","2"
"Phrohdoh","Unit158","20150","7475","2","2"
"abcdefg30","Phrohdoh","20150","7475","11212222","2"
"Mailaender","Phrohdoh","20150","7475","22","2"
"pchote","Phrohdoh","20150","7475","22212","2"
"obrakmann","Phrohdoh","20150","7475","2221","2"
"abcdefg30","pchote","20150","7476","2222","0"
"obrakmann","pchote","20150","7476","01","0"
"Mailaender","pchote","20150","7476","2","0"
"abcdefg30","Phrohdoh","20150","7476","2222","2212"
"pchote","Phrohdoh","20150","7476","0","2212"
"obrakmann","Phrohdoh","20150","7476","01","2212"
"Mailaender","Phrohdoh","20150","7476","2","2212"
"abcdefg30","obrakmann","20150","7476","2222","01"
"Mailaender","obrakmann","20150","7476","2","01"
"abcdefg30","Mailaender","20150","7476","2222","2"
"Mailaender","pchote","20150","7477","2022222","2222222222"
"obrakmann","pchote","20150","7477","22","2222222222"
"Mailaender","penev92","20150","7477","2022222","022202"
"pchote","penev92","20150","7477","2222222222","022202"
"obrakmann","penev92","20150","7477","22","022202"
"Mailaender","obrakmann","20150","7477","2022222","22"
"chrisforbes","deniz1a","20150","7478","2","2"
"deniz1a","Phrohdoh","20150","7478","2","2"
"GeertJohan","Phrohdoh","20150","7478","2","2"
"chrisforbes","Phrohdoh","20150","7478","2","2"
"elegantandrogyne","Phrohdoh","20150","7478","0","2"
