name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
cjshmyr,penev92,20150,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
chrisforbes,penev92,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
dan9550,penev92,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
cjshmyr,Phrohdoh,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
chrisforbes,Phrohdoh,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dan9550,Phrohdoh,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
penev92,Phrohdoh,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Mailaender,Phrohdoh,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,Phrohdoh,20150,2,0,0,0,0.5,0.0,0.0,0.0,4,1,0.5,1.0
LipkeGu,Phrohdoh,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Micr0Bit,Phrohdoh,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
penev92,Phrohdoh,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
deniz1a,Phrohdoh,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Phrohdoh,Rydra,20150,18,0,0,0,0.6,0.0,0.0,0.0,17,1,1.0,0.9299999999999999
Mailaender,Rydra,20150,18,0,0,0,0.6,0.0,0.0,0.0,17,1,1.0,0.9299999999999999
RoosterDragon,Rydra,20150,10,2,10,0,0.33,0.07,0.33,0.0,17,1,1.0,0.9299999999999999
pchote,Rydra,20150,10,5,0,1,0.33,0.17,0.0,0.03,17,1,0.5,0.9299999999999999
LipkeGu,Rydra,20150,18,0,0,0,0.6,0.0,0.0,0.0,17,1,1.0,0.9299999999999999
Micr0Bit,Rydra,20150,18,0,0,0,0.6,0.0,0.0,0.0,17,1,1.0,0.9299999999999999
penev92,Rydra,20150,5,1,5,0,0.33,0.07,0.33,0.0,16,1,1.0,0.9299999999999999
deniz1a,Rydra,20150,9,0,0,0,0.6,0.0,0.0,0.0,16,1,1.0,0.9299999999999999
LipkeGu,Mailaender,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
deniz1a,Mailaender,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Phrohdoh,RoosterDragon,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Mailaender,RoosterDragon,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
pchote,RoosterDragon,20150,0,2,0,0,0.0,0.5,0.0,0.0,4,1,0.5,1.0
LipkeGu,RoosterDragon,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Micr0Bit,RoosterDragon,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
penev92,RoosterDragon,20150,2,0,2,0,1.0,0.0,1.0,0.0,3,1,1.0,1.0
deniz1a,RoosterDragon,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,pchote,20150,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,0.5
LipkeGu,pchote,20150,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,0.5
Micr0Bit,pchote,20150,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,0.5
deniz1a,pchote,20150,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,0.5
deniz1a,LipkeGu,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
Mailaender,Micr0Bit,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
LipkeGu,Micr0Bit,20150,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
