source,target,weight
makc,Mugen87,1
mrdoob,Mugen87,2
looeee,WestLangley,5
mrdoob,WestLangley,1
looeee,mrdoob,5
donmccurdy,fernandojsg,2
BAntDit,mrdoob,1
Mugen87,WestLangley,4
FishOrBear,takahirox,2
looeee,makc,1
makc,takahirox,6
looeee,takahirox,6
bhouston,Mugen87,4
mrdoob,WestLangley,1
misan,WestLangley,4
fernandojsg,mrdoob,1
mrdoob,Sphinxxxx,3
cnspaha,Mugen87,2
Mugen87,WestLangley,1
cnspaha,WestLangley,2
ghost,moraxy,1
looeee,Usnul,2
mrdoob,WestLangley,1
cnspaha,WestLangley,2
cnspaha,mrdoob,2
looeee,scummtomte,1
jeum,Mugen87,1
croraf,mrdoob,2
Mugen87,WestLangley,2
makc,RemusMar,1
Mugen87,robertoranon,1
makc,Mugen87,3
looeee,Mugen87,1
mrdoob,Mugen87,1
looeee,mrdoob,1
fernandojsg,trusktr,2
viperscape,WestLangley,1
Usnul,WestLangley,1
bhouston,WestLangley,1
Itee,WestLangley,1
bhouston,Usnul,1
Itee,Usnul,1
bhouston,Itee,1
donmccurdy,takahirox,1
Egyptionl,WestLangley,1
donmccurdy,takahirox,2
donmccurdy,VI-GE,1
donmccurdy,fernandojsg,1
Astrak,Mugen87,1
jbaicoianu,looeee,1
donmccurdy,pailhead,2
makc,pailhead,2
martinjoiner,pailhead,4
donmccurdy,makc,1
donmccurdy,martinjoiner,2
makc,martinjoiner,2
donmccurdy,Mugen87,1
developer-lindner,Mugen87,1
developer-lindner,donmccurdy,1
chazcb,Itee,4
jcyuan,makc,1
DOLI91,kenrussell,2
mrdoob,pailhead,1
ghost,mrdoob,1
bakajin,wilson0x4d,2
FuzzyWobble,looeee,9
abogartz,Mugen87,1
kchapelier,RemusMar,3
RemusMar,tentone,3
kchapelier,tentone,1
looeee,makc,1
nkrisztian89,takahirox,6
kchapelier,takahirox,3
Itee,takahirox,3
kchapelier,nkrisztian89,2
Itee,nkrisztian89,2
takahirox,tentone,3
nkrisztian89,tentone,2
kchapelier,tentone,1
Itee,tentone,1
Itee,kchapelier,1
mrdoob,takahirox,1
kaisalmen,spite,1
MJCD,spite,2
kaisalmen,MJCD,2
alinhulea,takahirox,2
mrdoob,Mugen87,1
maccesch,WestLangley,1
mrdoob,WestLangley,1
maccesch,mrdoob,1
KavehR,Mugen87,2
cnspaha,Mugen87,2
cnspaha,KavehR,1
donmccurdy,stevesan,1
looeee,makc,1
pailhead,ste-vg,1
looeee,ste-vg,1
looeee,pailhead,1
donmccurdy,Itee,2
donmccurdy,looeee,2
Itee,looeee,4
Itee,mrdoob,12
looeee,mrdoob,8
Itee,looeee,24
looeee,mrdoob,1
looeee,WestLangley,2
cloud4every1,kenrussell,1
Aikyos,kaisalmen,2
grorg,roelvanhintum,1
cnspaha,Mugen87,2
donmccurdy,Mugen87,1
cnspaha,donmccurdy,2
clineyuan,Usnul,1
donmccurdy,lovemoebius,8
cnspaha,donmccurdy,1
eastpiger,maurocolella,3
looeee,MarcRibguth,1
looeee,pikilipita,1
MarcRibguth,pikilipita,1
looeee,mrdoob,1
donmccurdy,Friksel,1
clement-igonet,WestLangley,2
Alexandre-Passerelle,mrdoob,2
looeee,mrdoob,2
donmccurdy,tentone,1
mattdesl,takahirox,1
mrdoob,takahirox,1
mattdesl,mrdoob,1
haroldiedema,looeee,1
bhouston,looeee,1
looeee,WestLangley,2
haroldiedema,WestLangley,2
bhouston,WestLangley,2
bhouston,haroldiedema,1
cnspaha,Mugen87,1
mrdoob,sgaoae,4
looeee,takahirox,2
mrdoob,Sarah-C,1
luruke,mrdoob,1
mrdoob,netpro2k,2
benaadams,WestLangley,1
benaadams,donmccurdy,2
donmccurdy,Mugen87,2
benaadams,Mugen87,1
mrdoob,takahirox,1
atul-mourya,WestLangley,4
