name1,name2,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,degree1,degree2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
77QingLiu,hmgaudecker,1.0,0.0,0.0,0.0,0.8,0.8390000000000001,27,52,1,0,0,0,1,2
77QingLiu,jangorecki,1.0,0.0,0.0,0.0,0.8,0.889,27,30,1,0,0,0,1,2
77QingLiu,jorisvandenbossche,0.67,0.0,0.0,0.0,0.8,0.7959999999999999,27,10540,6,0,0,0,1,6
77QingLiu,jreback,0.89,0.0,0.0,0.0,0.8000000000000002,0.835,27,28609,7,0,0,0,3,11
77QingLiu,mattvivier,0.5,0.0,0.0,0.0,0.8,0.5,27,21,1,0,0,0,1,3
77QingLiu,multiloc,1.0,0.0,0.0,0.0,0.8,0.905,27,35,1,0,0,0,1,2
77QingLiu,nbonnotte,1.0,0.0,0.0,0.0,0.8,0.89,27,84,1,0,0,0,1,2
77QingLiu,openclosure,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,ottothecow,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,peterpanmj,1.0,0.0,0.0,0.0,0.8,0.971,27,59,1,0,0,0,1,2
77QingLiu,rea725,1.0,0.0,0.0,0.0,0.8,1.0,27,25,1,0,0,0,1,2
77QingLiu,stefanw,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,tamsl,1.0,0.0,0.0,0.0,0.8,0.0,27,21,1,0,0,0,1,2
77QingLiu,tyang209,0.0,0.0,0.0,0.0,0.8,0.0,27,21,0,0,0,0,1,2
77QingLiu,xuhuizhang,1.0,0.0,0.0,0.0,0.8,0.0,27,3,1,0,0,0,1,2
7kbird,cpcloud,1.0,0.0,0.0,0.0,0.0,0.8909999999999999,5,2545,1,0,0,0,1,2
7kbird,crasanders,1.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0,0,0,1,2
7kbird,jreback,1.0,0.0,0.0,0.0,0.0,0.835,5,28609,1,0,0,0,1,2
7kbird,mr-kenhoff,1.0,0.0,0.0,0.0,0.0,0.0,5,5,1,0,0,0,1,2
7kbird,spool,1.0,0.0,0.0,0.0,0.0,0.0,5,7,1,0,0,0,1,2
7stud,hayd,1.0,0.0,0.0,0.0,0.0,0.81,1,1289,6,0,0,0,1,5
8one6,TomAugspurger,0.44333333333333336,0.0,0.0,0.11,0.8569999999999999,0.8640000000000002,29,9311,2,0,0,1,3,8
8one6,aschilling,0.33,0.0,0.0,0.33,0.857,0.462,29,20,1,0,0,1,1,4
8one6,attack68,0.0,0.0,0.0,0.0,0.857,0.0,29,4,0,0,0,0,1,2
