"name1","name2","issue_num","p1","p2"
"jankatins","wesm","497","21","2"
"craustin","wesm","500","2","2"
"dieterv77","wesm","503","0","111"
"timClicks","wesm","504","2","2102"
"gregglind","wesm","504","12","2102"
"gregglind","timClicks","504","12","2"
"solomon-negusse","wesm","505","21","21"
"reckoner","wesm","509","1","222"
"craustin","wesm","510","21","222"
"craustin","wesm","511","22222","2222"
"bshanks","wesm","515","2","0222"
"catawbasam","wesm","516","1","0"
"mattharrison","wesm","519","220","2222"
"gregglind","wesm","520","1","2"
"mattharrison","wesm","523","222","22222"
"gregglind","wesm","526","10","2011"
"lodagro","wesm","531","2","1"
"mattharrison","wesm","546","2102","102"
"hayd","wesm","553","2","2"
"changhiskhan","tr11","557","2","2"
"tr11","wesm","557","2","2"
"changhiskhan","wesm","557","2","2"
"changhiskhan","wesm","560","2","2"
"adamklein","wesm","562","2","02"
"adamklein","wesm","568","222","22"
"gregglind","wesm","572","012","2122"
"gregglind","wesm","573","12","212"
"joonro","wesm","574","1","10"
"lodagro","wesm","577","222","22"
"adamklein","wesm","577","1","22"
"jreback","wesm","577","22","22"
"cpcloud","wesm","577","2","22"
"naught101","wesm","577","22","22"
"adamklein","lodagro","577","1","222"
"jreback","lodagro","577","22","222"
"cpcloud","lodagro","577","2","222"
"adamklein","jreback","577","1","22"
"cpcloud","jreback","577","2","22"
"adamklein","cpcloud","577","1","2"
"lodagro","naught101","577","222","22"
"adamklein","naught101","577","1","22"
"jreback","naught101","577","22","22"
"cpcloud","naught101","577","2","22"
"keluc","wesm","584","0","22"
"matthias-ollig","wesm","584","2","22"
"keluc","matthias-ollig","584","0","2"
"lodagro","wesm","589","22","2222"
"adamklein","wesm","590","2","2"
"adamklein","wesm","591","22","222"
"reckoner","wesm","594","1","220"
"soupault","stig","595","21","2"
"jreback","stig","595","2","2"
"stig","wesm","595","2","1"
"soupault","wesm","595","21","1"
"jreback","wesm","595","2","1"
"jreback","soupault","595","2","21"
"aman-thakral","wesm","596","1","2"
"adamklein","wesm","603","2","0"
"lbeltrame","wesm","603","2","0"
"adamklein","lbeltrame","603","2","2"
"wesm","yarikoptic","608","10","21"
"adamklein","wesm","611","2","1"
"adamklein","lluang","613","22","2222"
"lirenz","lluang","613","20","2222"
"adamklein","wesm","613","22","22"
"lluang","wesm","613","2222","22"
"lirenz","wesm","613","20","22"
"adamklein","lirenz","613","22","20"
"hammer","wesm","614","2","222"
"ghost","wesm","614","2","222"
"ghost","hammer","614","2","2"
"wesm","yarikoptic","618","212","221"
"adamklein","jseabold","622","2","2"
"cpcloud","jseabold","622","0222","2"
"adamsd5","jseabold","622","000","2"
"jreback","jseabold","622","022","2"
