"name1","name2","issue_num","p1","p2"
"ipython","reverie","62","0","2"
"fperez","reverie","62","222","2"
"daf","reverie","62","010","2"
"liokm","reverie","62","221","2"
"dellis23","reverie","62","2","2"
"fletom","reverie","62","2","2"
"JoeZ99","reverie","62","2","2"
"bkvirendra","reverie","62","21","2"
"minrk","reverie","62","2","2"
"Carreau","reverie","62","0","2"
"philippschw","reverie","62","0","2"
"blackball","reverie","62","2","2"
"anfedorov","reverie","62","2","2"
"Erotemic","reverie","62","2","2"
"anfedorov","bkvirendra","62","2","21"
"ipython","minrk","62","0","2"
"fperez","minrk","62","222","2"
"daf","minrk","62","010","2"
"liokm","minrk","62","221","2"
"dellis23","minrk","62","2","2"
"fletom","minrk","62","2","2"
"JoeZ99","minrk","62","2","2"
"bkvirendra","minrk","62","21","2"
"Carreau","minrk","62","0","2"
"blackball","minrk","62","2","2"
"anfedorov","minrk","62","2","2"
"Erotemic","minrk","62","2","2"
"bkvirendra","Carreau","62","21","0"
"blackball","Carreau","62","2","0"
"anfedorov","Carreau","62","2","0"
"ipython","philippschw","62","0","0"
"fperez","philippschw","62","222","0"
"daf","philippschw","62","010","0"
"liokm","philippschw","62","221","0"
"dellis23","philippschw","62","2","0"
"fletom","philippschw","62","2","0"
"JoeZ99","philippschw","62","2","0"
"bkvirendra","philippschw","62","21","0"
"minrk","philippschw","62","2","0"
"Carreau","philippschw","62","0","0"
"blackball","philippschw","62","2","0"
"anfedorov","philippschw","62","2","0"
"Erotemic","philippschw","62","2","0"
"bkvirendra","blackball","62","21","2"
"anfedorov","blackball","62","2","2"
"daf","Erotemic","62","010","2"
"dellis23","Erotemic","62","2","2"
"bkvirendra","Erotemic","62","21","2"
"Carreau","Erotemic","62","0","2"
"blackball","Erotemic","62","2","2"
"anfedorov","Erotemic","62","2","2"
"Carreau","ipython","63","1","2"
"fperez","ipython","64","22","2"
"Carreau","ipython","64","1","2"
"ipython","minrk","64","2","22"
"fperez","minrk","64","22","22"
"Carreau","minrk","64","1","22"
"Carreau","fperez","64","1","22"
"fperez","ipython","65","2","21"
"ellisonbg","ipython","66","22","2"
"fperez","ipython","66","2","2"
"ellisonbg","fperez","66","22","2"
"fperez","ipython","67","22","2"
"ellisonbg","minrk","68","22","2"
"fperez","ipython","70","2","1"
"ipython","takluyver","70","1","2"
"fperez","takluyver","70","2","2"
"jstenar","takluyver","71","2","222"
"ipython","minrk","72","2","2"
"fperez","takluyver","75","0","2"
"fperez","ipython","76","2","21"
"ipython","minrk","77","2","22"
"ellisonbg","ipython","78","2","2"
"ipython","takluyver","78","2","2"
"ellisonbg","takluyver","78","2","2"
"minrk","takluyver","78","22","2"
"ipython","minrk","78","2","22"
"ellisonbg","minrk","78","2","22"
"ellisonbg","fperez","79","2","2"
"ipython","minrk","80","2","2"
"bfroehle","ipython","81","22","20222"
"fperez","ipython","81","02","20222"
"ipython","minrk","81","20222","2"
"bfroehle","minrk","81","22","2"
"fperez","minrk","81","02","2"
"bfroehle","fperez","81","22","02"
"ellisonbg","fperez","82","2","2"
"minrk","takluyver","84","2","0"
"fperez","minrk","86","2","22"
"epatters","ipython","88","2","22"
"ipython","takluyver","88","22","21222"
"rspeer","takluyver","88","20220","21222"
"minrk","takluyver","88","2111","21222"
"epatters","takluyver","88","2","21222"
"ipython","rspeer","88","22","20220"
"minrk","rspeer","88","2111","20220"
"epatters","rspeer","88","2","20220"
"ipython","minrk","88","22","2111"
"epatters","minrk","88","2","2111"
"fperez","takluyver","89","21","22"
"fperez","ipython","90","02","2111"
"ipython","takluyver","90","2111","2"
"fperez","takluyver","90","02","2"
"Carreau","ipython","91","1","2"
"ipython","takluyver","91","2","0"
"Carreau","takluyver","91","1","0"
"ipython","takluyver","92","202000","2"
"minrk","takluyver","92","2","2"
"ipython","minrk","92","202000","2"
"ipython","minrk","93","2222222221","2"
"ipython","jstenar","95","0","2"
"Carreau","ipython","96","1","20"
"Carreau","minrk","97","1","2"
"ipython","takluyver","98","2","22"
"ipython","minrk","100","2021","2"
"bfroehle","ipython","101","2","2"
"gauteh","ipython","101","202","2"
"ipython","minrk","101","2","2"
"bfroehle","minrk","101","2","2"
"gauteh","minrk","101","202","2"
"ivanov","minrk","101","22","2"
"bfroehle","gauteh","101","2","202"
"ipython","ivanov","101","2","22"
"bfroehle","ivanov","101","2","22"
"gauteh","ivanov","101","202","22"
"fperez","ipython","102","0","2"
"fperez","ipython","103","2","2"
"ipython","minrk","104","0","2"
"ellisonbg","ipython","105","2","2"
"bfroehle","ipython","106","2","2"
"fperez","tomspur","107","21","2"
"minrk","pferreir","108","2","0"
"ipython","minrk","109","01","2"
"ipython","minrk","110","220","2"
"mmckerns","niallrobinson","112","0200222","2"
"niallrobinson","takluyver","112","2","2122222"
"mmckerns","takluyver","112","0200222","2122222"
"fperez","ipython","113","1","2"
"ipython","takluyver","113","2","2"
"fperez","takluyver","113","1","2"
"fperez","ivanov","114","22","20"
