name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
AP23,jtratner,2013-09-30,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
ARF1,TomAugspurger,2015-05-04,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
ARF1,hayd,2015-04-20,0.2,0.0,0.2,0.0,1.0,1.0,1,0,1,0,1,6
ARF1,jorisvandenbossche,2015-04-20,0.8,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,6
ARF1,jorisvandenbossche,2015-05-04,0.75,0.0,0.0,0.5,0.5,0.5,2,0,0,1,2,5
ARF1,jreback,2015-04-20,0.6433333333333334,0.04,0.0,0.0,1.0,0.8333333333333334,21,1,0,0,3,20
ARF1,jreback,2015-05-04,0.5566666666666666,0.0,0.0,0.22333333333333336,0.6666666666666666,0.44333333333333336,3,0,0,2,3,8
ARF1,shoyer,2015-04-20,0.6666666666666666,0.03333333333333333,0.0,0.0,1.0,0.8666666666666667,22,2,0,0,3,22
ARF1,shoyer,2015-04-27,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
ARF1,shoyer,2015-05-04,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
ATPs,WillAyd,2018-08-06,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AVI18794,jorisvandenbossche,2018-11-19,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,TomAugspurger,2018-02-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,codecov[bot],2017-11-06,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,codecov[bot],2017-11-20,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,codecov[bot],2018-02-12,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronCritchley,jbrockmendel,2017-11-20,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AaronCritchley,jreback,2017-11-06,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AaronCritchley,jreback,2017-11-20,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AaronCritchley,jreback,2018-03-19,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,jreback,2018-09-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AaronCritchley,pep8speaks,2018-02-12,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AaronCritchley,pep8speaks,2018-09-03,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AaronNBrock,TomAugspurger,2018-03-19,1.0,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,4
AashitaK,brianhuey,2017-03-13,0.43,0.07,0.0,0.0,1.0,0.86,6,1,0,0,1,9
AashitaK,jorisvandenbossche,2017-03-13,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AashitaK,jreback,2017-03-13,0.5,0.0,0.0,0.0,1.0,1.0,7,0,0,0,1,9
AbdealiJK,Make42,2017-10-30,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AbdealiJK,TomAugspurger,2017-10-30,1.0,0.0,0.0,0.0,1.0,1.0,5,0,0,0,2,6
AbdealiJK,codecov[bot],2017-10-30,0.67,0.0,0.0,0.0,1.0,1.0,4,0,0,0,1,5
AbdealiJK,codecov[bot],2017-12-04,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,1,3
AbdealiJK,jreback,2017-10-30,0.6666666666666666,0.0,0.05666666666666667,0.0,0.8333333333333334,1.0,10,0,1,0,3,13
AbdealiJK,pep8speaks,2017-10-30,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AbdealiJK,pep8speaks,2017-12-04,0.5,0.5,0.5,0.0,0.5,1.0,1,1,1,0,1,3
AbdouSeck,mroeschke,2018-10-22,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2
AbeHandler,jorisvandenbossche,2016-02-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AbeHandler,jreback,2016-02-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,7
AbeHandler,max-sixty,2016-02-15,0.25,0.0,0.25,0.0,1.0,1.0,1,0,1,0,1,5
AbeHandler,nickeubank,2016-02-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AbhishekAshokDubey,WillAyd,2018-08-20,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Acanthostega,cpcloud,2014-04-07,0.5333333333333333,0.0,0.06666666666666667,0.0,0.8666666666666667,1.0,8,0,1,0,3,17
Acanthostega,jorisvandenbossche,2014-04-07,0.175,0.075,0.025,0.05,0.8,0.75,14,6,2,4,2,20
Acanthostega,jreback,2014-04-07,0.4,0.0,0.0,0.0,0.6,1.0,4,0,0,0,1,7
AdamGleave,codecov[bot],2017-06-05,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AdamGleave,jorisvandenbossche,2016-10-31,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AdamGleave,jreback,2017-06-26,0.0,0.33,0.0,0.0,0.0,1.0,0,1,0,0,1,4
AdamHede,chris-b1,2017-08-14,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
AdamHede,pratapvardhan,2017-08-14,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AdamShamlian,TomAugspurger,2017-10-16,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
AdamShamlian,codecov[bot],2017-10-09,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
AdamShamlian,jreback,2017-10-09,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Adirio,codecov[bot],2018-10-15,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Adirio,jbrockmendel,2018-10-15,0.5,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,3
Adirio,jreback,2018-10-15,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Adirio,mroeschke,2018-10-15,0.25,0.0,0.0,0.0,0.5,1.0,1,0,0,0,2,5
Adirio,pep8speaks,2018-10-15,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
AdrianTeng,jreback,2017-04-24,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
Adrienlq,jorisvandenbossche,2018-03-12,0.5,0.0,0.5,0.0,1.0,1.0,1,0,1,0,1,3
Aerlinger,TomAugspurger,2016-06-13,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
Aerlinger,jorisvandenbossche,2016-06-13,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,1,2
Aico,stephenwlin,2013-02-25,1.0,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,3
Airatvi,TomAugspurger,2018-02-19,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1,1,2
Airatvi,Yalniza,2018-02-19,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
Ajeet-Ganga,jreback,2016-12-05,0.5,0.0,0.0,0.0,0.5,1.0,3,0,0,0,1,5
AlJohri,jreback,2016-02-15,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AlbertDeFusco,TomAugspurger,2017-12-04,0.5,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AlbertDeFusco,jorisvandenbossche,2017-05-15,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AlbertDeFusco,minhouse,2017-05-15,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
Alex-qin,jorisvandenbossche,2017-07-24,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
AlexHentschel,chris-b1,2017-12-04,1.0,0.0,1.0,0.0,1.0,1.0,2,0,2,0,1,3
AlexHentschel,jreback,2017-12-04,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,3
AlexRiina,mroeschke,2019-03-11,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,2
AlexTheProgrammer,jreback,2017-01-16,1.0,0.0,0.0,0.0,1.0,1.0,3,0,0,0,1,4
AlexTheProgrammer,sdementen,2017-01-16,0.33,0.0,0.0,0.0,1.0,0.6699999999999999,1,0,0,0,1,4
Alexander-Shukaev,TomAugspurger,2018-11-19,0.54,0.04,0.0,0.04,0.83,0.75,13,1,0,1,1,10
AlexanderKUA,jreback,2014-12-29,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AlexandreDecan,TomAugspurger,2018-11-26,0.4,0.1,0.0,0.0,0.8,1.0,4,1,0,0,1,7
