name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
craustin,wesm,2011-11-07,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
lodagro,wesm,2011-11-07,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
changhiskhan,wesm,2012-07-02,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
craustin,wesm,2011-11-07,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
adamklein,lodagro,2011-12-26,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
CRP,wesm,2011-11-14,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jseabold,wesm,2011-11-14,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cpcloud,hayd,2013-07-29,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cpcloud,hayd,2013-09-23,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
sanand0,wesm,2012-10-29,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
cpcloud,fivejjs,2015-01-19,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
fivejjs,TomAugspurger,2015-01-19,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
cpcloud,TomAugspurger,2015-01-19,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jorisvandenbossche,kvallinatest,2017-09-25,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ralphbean,wesm,2011-11-21,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
lodagro,wesm,2012-02-27,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
drewfrank,wesm,2012-02-27,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
drewfrank,lodagro,2012-02-27,1,0,0,1,1.0,0.0,0.0,1.0,2,1,0.0,0.0
lodagro,sjev,2011-11-21,2,0,0,0,0.33,0.0,0.0,0.0,5,1,1.0,1.0
lodagro,wesm,2011-11-21,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
sjev,wesm,2011-11-21,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,1.0
ralphbean,wesm,2011-11-21,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
joonro,wesm,2011-11-21,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
fonnesbeck,wesm,2011-11-21,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
CRP,wesm,2011-11-21,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
sjev,wesm,2011-11-21,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
sjev,wesm,2011-11-28,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
sjev,wesm,2011-11-21,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
sjev,wesm,2011-11-21,2,1,1,0,0.33,0.17,0.17,0.0,5,1,1.0,0.6699999999999999
