name1,name2,date,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
foobarbecue,mrdoob,2014-04-14,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,yagiz,2012-01-09,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
chandlerprall,jeromeetienne,2012-01-16,4,0,0,0,0.29,0.0,0.0,0.0,9,1,1.0,0.71
alteredq,jeromeetienne,2012-01-16,6,3,0,2,0.29,0.14,0.0,0.1,10,1,0.6699999999999999,0.71
alteredq,chandlerprall,2012-01-16,4,0,0,0,0.67,0.0,0.0,0.0,5,1,0.6699999999999999,1.0
chandlerprall,zz85,2012-01-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jayfield1979,mrdoob,2012-01-16,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
donmccurdy,hfeist,2018-08-20,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,powerslave,2012-01-23,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
mrdoob,Sergej-Popov,2012-04-09,12,0,0,0,0.5,0.0,0.0,0.0,10,1,1.0,0.83
Sergej-Popov,WestLangley,2012-04-09,6,0,0,0,0.5,0.0,0.0,0.0,8,1,0.83,1.0
mrdoob,WestLangley,2012-04-09,8,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
linzhp,WestLangley,2012-04-30,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
cawoodm,Mugen87,2018-04-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Tobiasartz,WestLangley,2012-01-23,14,2,2,0,0.47,0.07,0.07,0.0,11,1,1.0,0.83
Emanuele-Spatola,WestLangley,2017-01-16,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
hadinehme,WestLangley,2015-08-03,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mugen87,zhhuan,2018-01-22,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Landlord-xx,libe,2012-02-13,9,0,6,0,0.45,0.0,0.3,0.0,9,1,1.0,1.0
libe,WestLangley,2012-02-13,11,0,2,0,0.55,0.0,0.1,0.0,9,1,1.0,1.0
