developer1,developer2,cr_consistent_rate,co_issue_cnt,cmt_cnt1,cmt_cnt2
reaperrr,Turupawn,0.056,3,2661,10
reaperrr,noamyogev84,0.333,3,2661,10
reaperrr,SteelPhase,0.958,4,2661,10
reaperrr,VanDeWetering,0.632,3,2661,9
reaperrr,ThisBlunt,0.657,6,2661,9
reaperrr,Raymond-cnc,0.822,3,2661,9
reaperrr,lovalmidas,0.625,4,2661,9
reaperrr,mazarf,0.698,5,2661,9
reaperrr,skruw,0.667,3,2661,9
reaperrr,ROCKNROLLKID,0.701,4,2661,9
reaperrr,JoshuaPettus,0.264,4,2661,9
reaperrr,Muh-Muh,0.722,3,2661,9
reaperrr,avalach21,0.556,3,2661,9
reaperrr,Smith00101010,0.667,3,2661,9
reaperrr,GeertJohan,0.417,2,2661,9
reaperrr,Robmaister,0.806,9,2661,9
reaperrr,suvjunmd,0.677,4,2661,9
reaperrr,leodew,0.0,3,2661,8
reaperrr,irungentoo,0.889,2,2661,8
reaperrr,samrocketman,0.767,5,2661,8
reaperrr,godest88,0.0,1,2661,8
reaperrr,viszkoktamas,0.601,4,2661,8
reaperrr,3Lucian,0.833,1,2661,8
reaperrr,fruestueck,1.0,1,2661,8
reaperrr,nicefive,0.333,3,2661,8
reaperrr,anvilvapre,0.333,2,2661,8
reaperrr,hartmark,0.667,3,2661,8
reaperrr,dufresnep,0.25,1,2661,8
reaperrr,salvadorc17,0.75,4,2661,8
reaperrr,Zogg,0.25,2,2661,7
reaperrr,riiga,0.815,3,2661,7
reaperrr,SzabKel,0.75,4,2661,7
reaperrr,Hanzik,0.0,1,2661,7
reaperrr,noobmapmaker,0.1,3,2661,7
reaperrr,grafviktor,0.133,2,2661,7
reaperrr,Marnador,0.627,3,2661,7
reaperrr,pizzaoverhead,1.0,5,2661,7
reaperrr,Marty,0.0,1,2661,7
reaperrr,Arular101,0.5,1,2661,7
reaperrr,krisradio,0.236,4,2661,7
reaperrr,carlos444,0.2,5,2661,7
reaperrr,MartinCurwen,0.679,1,2661,7
reaperrr,AngryBirdz,1.0,4,2661,7
reaperrr,Computerfreaked,0.5,1,2661,7
reaperrr,ivicok,0.516,4,2661,7
reaperrr,ozzyyzzo4096,0.553,1,2661,7
reaperrr,Rowan94,0.857,1,2661,7
reaperrr,mylemans,0.333,3,2661,6
reaperrr,psydev,0.5,2,2661,6
reaperrr,Szunti,0.714,4,2661,6
reaperrr,PiDelport,0.667,1,2661,6
reaperrr,Narg6,0.167,2,2661,6
reaperrr,rautamiekka,0.375,2,2661,6
reaperrr,ChristianDK,0.551,4,2661,6
reaperrr,docholiday,1.0,1,2661,6
reaperrr,Walkman100,0.556,3,2661,6
reaperrr,Sora012,0.25,3,2661,6
reaperrr,Omnomon,0.4,5,2661,6
reaperrr,salsero,0.877,3,2661,6
reaperrr,roundowl,0.917,2,2661,6
reaperrr,CanOPringles,1.0,2,2661,6
reaperrr,RRPRIME,0.389,3,2661,6
reaperrr,Inq8,0.625,4,2661,6
reaperrr,Beep6581,1.0,1,2661,6
reaperrr,JohnnyXP64,0.5,1,2661,6
reaperrr,SilverlineDev,0.658,4,2661,6
reaperrr,TGHoly,0.578,5,2661,6
reaperrr,fastslack,0.9,2,2661,6
reaperrr,RichSuther,0.478,3,2661,6
reaperrr,akoeplinger,1.0,1,2661,6
