name1,name2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2,degree1,degree2
dankegel,jbicha,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.0,6,5
edigaryev,jbicha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
Flast,jbicha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
jburns20,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.853,5,775
dankegel,sreecha,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.853,6,775
jbicha,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.853,5,775
edigaryev,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.853,5,775
Flast,sreecha,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.853,5,775
dankegel,edigaryev,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.0,6,5
dankegel,Flast,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.0,6,5
edigaryev,Flast,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.0,0.0,5,5
ctiller,grpc-kokoro,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.487,3377,3106
grpc-kokoro,stanley-cheung,6,0,0,0,1.0,0.0,0.0,0.0,5,1,0.487,0.854,3106,684
grpc-kokoro,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.487,0.908,3106,1236
apolcyn,grpc-kokoro,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.923,0.487,1286,3106
adelez,murgatroid99,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.928,0.968,416,2107
jtattermusch,murgatroid99,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.94,0.968,4490,2107
adelez,jtattermusch,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.928,0.94,416,4490
ctiller,grpc-kokoro,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.945,0.487,3377,3106
googlebot,grpc-kokoro,14,0,14,0,1.0,0.0,1.0,0.0,9,1,0.368,0.487,1379,3106
7anner,grpc-kokoro,7,0,7,0,0.25,0.0,0.25,0.0,11,1,0.75,0.487,6,3106
aardappel,grpc-kokoro,0,0,0,0,0.0,0.0,0.0,0.0,8,1,0.8,0.487,24,3106
grpc-kokoro,grpc-testing,56,0,56,0,1.0,0.0,1.0,0.0,15,1,0.487,0.953,3106,3628
googlebot,grpc-testing,16,0,16,0,1.0,0.0,1.0,0.0,10,1,0.368,0.953,1379,3628
7anner,grpc-testing,8,0,8,0,0.25,0.0,0.25,0.0,12,1,0.75,0.953,6,3628
aardappel,grpc-testing,0,0,0,0,0.0,0.0,0.0,0.0,9,1,0.8,0.953,24,3628
7anner,googlebot,2,0,2,0,0.25,0.0,0.25,0.0,6,1,0.75,0.368,6,1379
aardappel,googlebot,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.8,0.368,24,1379
grpc-kokoro,jtattermusch,0,35,0,0,0.0,0.71,0.0,0.0,14,1,0.487,0.94,3106,4490
grpc-testing,jtattermusch,0,40,0,0,0.0,0.71,0.0,0.0,15,1,0.953,0.94,3628,4490
googlebot,jtattermusch,0,10,0,0,0.0,0.71,0.0,0.0,9,1,0.368,0.94,1379,4490
7anner,jtattermusch,6,5,0,0,0.21,0.18,0.0,0.0,11,1,0.75,0.94,6,4490
gwvo,jtattermusch,2,0,0,0,0.29,0.0,0.0,0.0,8,1,0.846,0.94,30,4490
aardappel,jtattermusch,2,0,0,0,0.29,0.0,0.0,0.0,8,1,0.8,0.94,24,4490
grpc-kokoro,gwvo,0,0,0,0,0.0,0.0,0.0,0.0,8,1,0.487,0.846,3106,30
grpc-testing,gwvo,0,0,0,0,0.0,0.0,0.0,0.0,9,1,0.953,0.846,3628,30
googlebot,gwvo,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.368,0.846,1379,30
7anner,gwvo,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.75,0.846,6,30
aardappel,gwvo,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.8,0.846,24,30
7anner,aardappel,3,0,0,0,0.75,0.0,0.0,0.0,5,1,0.75,0.8,6,24
ctiller,grpc-kokoro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.945,0.487,3377,3106
grpc-kokoro,ncteisen,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.487,0.942,3106,916
ctiller,ncteisen,2,0,0,0,1.0,0.0,0.0,0.0,3,1,0.945,0.942,3377,916
muxi,ncteisen,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.873,0.942,781,916
apolcyn,ncteisen,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.923,0.942,1286,916
dgquintas,ncteisen,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.899,0.942,1753,916
apolcyn,muxi,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.923,0.873,1286,781
dgquintas,muxi,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.899,0.873,1753,781
ncteisen,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.942,0.908,916,1236
muxi,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.873,0.908,781,1236
apolcyn,yang-g,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.923,0.908,1286,1236
dgquintas,yang-g,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.899,0.908,1753,1236
apolcyn,dgquintas,3,0,0,0,1.0,0.0,0.0,0.0,4,1,0.923,0.899,1286,1753
grpc-kokoro,makdharma,30,0,0,0,1.0,0.0,0.0,0.0,11,1,0.487,0.987,3106,414
apolcyn,grpc-kokoro,1,0,0,0,1.0,0.0,0.0,0.0,2,1,0.923,0.487,1286,3106
dgquintas,grpc-kokoro,4,0,0,0,1.0,0.0,0.0,0.0,5,1,0.899,0.487,1753,3106
grpc-kokoro,markdroth,8,0,0,0,0.67,0.0,0.0,0.0,7,1,0.487,0.884,3106,1231
dgquintas,markdroth,2,0,0,0,0.67,0.0,0.0,0.0,4,1,0.899,0.884,1753,1231
