name,year_week,issue_num,label
aresnick,201027,134,2
takluyver,201112,134,20
aresnick,201112,134,0
tomspur,201028,135,2
poelzi,201029,135,1
tomspur,201029,135,2
tomspur,201030,136,2
prsteel,201031,136,2
takluyver,201112,136,2
fperez,201148,136,01
takluyver,201148,136,2
takluyver,201149,136,0
takluyver,201329,136,0
clebio,201446,136,2
minrk,201446,136,2
amelio-dx,201446,136,1
amelio-vazquez-reina,201446,136,2
Erotemic,201535,136,2
nikitakit,201626,136,2
ivanov,201720,136,2
nikitakit,201727,136,0
takluyver,201112,137,2
minrk,201112,137,22
Carreau,201424,138,2
fperez,201110,139,2
fperez,201110,140,2
fperez,201032,141,0
takluyver,201112,141,22
fperez,201114,141,2
takluyver,201114,141,0
takluyver,201115,141,02222202
fperez,201115,141,02212201
takluyver,201119,141,2
takluyver,201121,141,2
takluyver,201112,142,2
minrk,201112,143,2
fperez,201043,144,2
minrk,201112,145,2
ellisonbg,201034,146,2
rkern,201036,148,2
fperez,201040,148,2
ellisonbg,201037,149,20
rkern,201037,149,2
rkern,201038,149,20222
ellisonbg,201038,149,02
fperez,201038,149,02
fperez,201038,150,2222
fperez,201038,151,1
fperez,201038,152,1
fperez,201038,153,2
fperez,201110,153,2
fperez,201040,154,0
dmirota,201040,154,2
fperez,201110,154,1
fperez,201039,155,2
takluyver,201125,156,0
ellisonbg,201049,157,0
minrk,201325,157,2
Carreau,201629,157,1
fperez,201040,158,102
tomspur,201040,158,0
tomspur,201041,158,2
fperez,201043,158,1
fperez,201040,159,112
takluyver,201040,159,22
fperez,201040,160,2
epatters,20116,161,2
minrk,201040,162,2
epatters,20116,162,2
ellisonbg,201040,163,1
fperez,201040,163,01211
minrk,201040,163,2
ellisonbg,201041,163,211
fperez,201041,163,112
fperez,201040,164,11
minrk,201040,164,0
ellisonbg,201041,164,20012
minrk,201041,164,000220
fperez,201041,164,2
minrk,201042,164,2
fperez,201042,164,2
minrk,20133,165,2
epatters,20116,166,2
fperez,20116,166,1
fperez,201041,167,12
ellisonbg,201041,167,2
markvoorhies,201041,167,22
minrk,201041,168,1
fperez,201041,168,1
takluyver,201121,168,2
minrk,201041,169,2200
fperez,201041,169,01
fperez,201042,169,2
minrk,201042,169,2
markvoorhies,201041,170,1
minrk,201042,170,2022
markvoorhies,201042,170,01
fperez,201042,170,1
fperez,201042,171,11
minrk,201042,171,22
takluyver,201042,172,2
epatters,20116,173,22
fperez,201042,174,10
ddale,201042,174,2
fperez,201043,174,1201
ddale,201043,174,0222
ellisonbg,201043,174,2
ellisonbg,201112,175,2
minrk,201123,175,2
takluyver,201125,175,2
minrk,201125,175,2
minrk,20118,176,2
fperez,20118,176,1
rkern,201042,177,2
fperez,201042,177,1
markvoorhies,201042,179,22
fperez,201042,179,20
jamesgao,201042,179,1
ccordoba12,201043,179,2
fperez,201043,179,012221
jamesgao,201043,179,11
ellisonbg,201043,179,012
ivanistheone,201044,179,1
jasongrout,201112,179,20
jamesgao,201112,179,2
ellisonbg,201113,179,2
