name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
danielribeiro,mrdoob,20111,2,0,0,0,0.5,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,mrdoob,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
alteredq,danielribeiro,20111,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
mrdoob,namiwang,20111,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.5,1.0
ghost,mrdoob,20151,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
mrdoob,zz85,20111,2,0,2,0,0.33,0.0,0.33,0.0,5,1,1.0,1.0
ymmd,zz85,20111,2,0,2,0,0.33,0.0,0.33,0.0,5,1,1.0,1.0
mrdoob,ymmd,20111,4,0,4,0,1.0,0.0,1.0,0.0,4,1,1.0,1.0
scotmos,WestLangley,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,vance,20111,3,1,0,1,0.38,0.12,0.0,0.12,6,1,0.5,0.75
drsagitn,vance,20111,2,2,2,0,0.25,0.25,0.25,0.0,6,1,1.0,0.75
alteredq,drsagitn,20111,0,2,0,0,0.0,0.5,0.0,0.0,4,1,0.5,1.0
danielribeiro,mrdoob,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
danielribeiro,mrdoob,20131,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jotinha,mrdoob,20131,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
danielribeiro,jotinha,20131,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
kevanstannard,mrdoob,20170,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
gixo,jasongrout,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
jasongrout,WestLangley,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
gixo,WestLangley,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
nriss,WestLangley,20140,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,maurrubio,20111,6,0,0,0,0.4,0.0,0.0,0.0,8,1,1.0,1.0
alteredq,drsagitn,20111,2,0,2,0,0.67,0.0,0.67,0.0,4,1,1.0,1.0
drsagitn,mrdoob,20111,2,0,0,0,0.33,0.0,0.0,0.0,5,1,1.0,1.0
alteredq,mrdoob,20111,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
drsagitn,mrdoob,20120,7,0,0,0,0.12,0.0,0.0,0.0,15,1,0.88,1.0
flyingdeath,mrdoob,20111,4,2,0,0,0.33,0.17,0.0,0.0,7,1,1.0,0.6699999999999999
flyingdeath,mrdoob,20120,5,0,1,0,0.5,0.0,0.1,0.0,7,1,1.0,1.0
mrdoob,WestLangley,20111,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,nebeleh,20141,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
gero3,nebeleh,20141,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
gero3,mrdoob,20141,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
donmccurdy,vgheorghiu,20181,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
gunderson,WestLangley,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
luisArandas,Mugen87,20190,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
corsaronero,mrdoob,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
bhupendra1011,Mugen87,20181,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
chandlerprall,kor86,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,kor86,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
kor86,mrdoob,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
chandlerprall,mrdoob,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,mrdoob,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,chandlerprall,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ekunuke,WestLangley,20121,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
mrdoob,scganterh,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
scganterh,WestLangley,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,WestLangley,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mugen87,unphased,20181,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,unphased,20181,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,Mugen87,20181,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
chandlerprall,LiquidSnakeX,20120,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Mugen87,VarghaSabee,20180,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
alteredq,chandlerprall,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
chandlerprall,lonelydatum,20120,4,0,4,0,0.5,0.0,0.5,0.0,6,1,1.0,1.0
alteredq,lonelydatum,20120,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
chandlerprall,mrdoob,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
lonelydatum,mrdoob,20120,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
alteredq,mrdoob,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
landonsilla,mrdoob,20120,11,1,2,0,0.46,0.04,0.08,0.0,10,1,0.83,1.0
alteredq,mrdoob,20120,6,0,0,0,0.75,0.0,0.0,0.0,6,1,1.0,1.0
alteredq,landonsilla,20120,6,0,0,0,0.5,0.0,0.0,0.0,8,1,1.0,0.83
foobarbecue,mrdoob,20140,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,yagiz,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
chandlerprall,jeromeetienne,20120,4,0,0,0,0.25,0.0,0.0,0.0,10,1,1.0,0.75
alteredq,jeromeetienne,20120,6,4,0,2,0.25,0.17,0.0,0.08,11,1,0.6699999999999999,0.75
alteredq,chandlerprall,20120,4,0,0,0,0.67,0.0,0.0,0.0,5,1,0.6699999999999999,1.0
chandlerprall,zz85,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jayfield1979,mrdoob,20120,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
donmccurdy,hfeist,20181,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,powerslave,20120,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
Sergej-Popov,WestLangley,20120,12,0,0,0,0.5,0.0,0.0,0.0,10,1,0.83,1.0
mrdoob,WestLangley,20120,16,0,0,0,1.0,0.0,0.0,0.0,8,1,1.0,1.0
linzhp,WestLangley,20120,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
mrdoob,Sergej-Popov,20120,12,0,0,0,0.5,0.0,0.0,0.0,10,1,1.0,0.83
linzhp,Sergej-Popov,20120,2,1,2,0,0.33,0.17,0.33,0.0,7,1,1.0,0.83
linzhp,mrdoob,20120,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
cawoodm,Mugen87,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Tobiasartz,WestLangley,20120,14,2,2,0,0.47,0.07,0.07,0.0,11,1,1.0,0.83
Emanuele-Spatola,WestLangley,20170,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
svcondor,WestLangley,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Emanuele-Spatola,svcondor,20170,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
hadinehme,WestLangley,20151,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Mugen87,zhhuan,20180,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
Landlord-xx,libe,20120,16,0,12,0,0.5,0.0,0.38,0.0,12,1,1.0,1.0
brianclanton,libe,20120,4,0,0,0,0.5,0.0,0.0,0.0,9,1,1.0,1.0
brianclanton,Landlord-xx,20120,1,0,0,0,0.25,0.0,0.0,0.0,5,1,1.0,1.0
libe,WestLangley,20120,20,0,4,0,0.5,0.0,0.1,0.0,13,1,1.0,1.0
Landlord-xx,WestLangley,20120,7,0,3,0,0.35,0.0,0.15,0.0,9,1,1.0,1.0
mrdoob,WestLangley,20120,4,0,0,0,0.8,0.0,0.0,0.0,6,1,1.0,1.0
brianclanton,WestLangley,20120,4,0,0,0,0.8,0.0,0.0,0.0,6,1,1.0,1.0
libe,mrdoob,20120,4,0,0,0,0.5,0.0,0.0,0.0,9,1,1.0,1.0
Landlord-xx,mrdoob,20120,1,0,0,0,0.25,0.0,0.0,0.0,5,1,1.0,1.0
brianclanton,mrdoob,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
gyuque,mrdoob,20120,3,2,2,0,0.33,0.22,0.22,0.0,6,1,1.0,0.6699999999999999
alteredq,mrdoob,20120,3,2,1,1,0.33,0.22,0.11,0.11,6,1,0.6699999999999999,0.6699999999999999
alteredq,gyuque,20120,3,2,2,0,0.33,0.22,0.22,0.0,6,1,0.6699999999999999,1.0
mrdoob,zz85,20120,3,2,2,0,0.33,0.22,0.22,0.0,6,1,0.6699999999999999,1.0
gyuque,zz85,20120,5,0,4,0,0.56,0.0,0.44,0.0,6,1,1.0,1.0
alteredq,zz85,20120,3,2,2,0,0.33,0.22,0.22,0.0,6,1,0.6699999999999999,1.0
alteredq,mrdoob,20120,4,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Malgalad,mrdoob,20120,4,0,0,0,0.67,0.0,0.0,0.0,5,1,0.6699999999999999,1.0
alteredq,Malgalad,20120,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,0.6699999999999999
kovleouf,zsitro,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
chandlerprall,chrisella,20120,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
ghost,mrdoob,20120,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
mrdoob,Pengeszikra,20120,2,0,1,0,0.5,0.0,0.25,0.0,4,1,1.0,1.0
ghost,Pengeszikra,20120,0,1,0,0,0.0,0.5,0.0,0.0,3,1,0.0,1.0
mrdoob,WestLangley,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
ghost,WestLangley,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
Pengeszikra,WestLangley,20120,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
enriquemorenotent,mrdoob,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,0.0,1.0
Landlord-xx,mrdoob,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
donbright,letmaik,20130,1,0,1,0,0.25,0.0,0.25,0.0,5,1,1.0,1.0
donbright,patrickfuller,20130,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
letmaik,patrickfuller,20130,9,0,0,0,0.75,0.0,0.0,0.0,7,1,1.0,1.0
patrickfuller,Pro,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,renegademaster88,20120,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
mrdoob,renegademaster88,20121,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
trusktr,WestLangley,20181,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
huanghuan,WestLangley,20120,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,1.0
alteredq,WestLangley,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,huanghuan,20120,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,1.0
dacre-denny,donmccurdy,20180,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
alteredq,mrdoob,20120,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
huanghuan,mrdoob,20120,0,1,0,0,0.0,0.25,0.0,0.0,5,1,1.0,0.75
gero3,mrdoob,20120,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
idflood,mrdoob,20120,3,0,0,0,0.75,0.0,0.0,0.0,5,1,1.0,0.75
alteredq,huanghuan,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
gero3,huanghuan,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,zz85,20120,4,1,0,1,0.33,0.08,0.0,0.08,7,1,0.75,0.6699999999999999
alteredq,zz85,20120,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
huanghuan,zz85,20120,1,1,1,0,0.33,0.33,0.33,0.0,4,1,1.0,0.6699999999999999
gero3,zz85,20120,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
idflood,zz85,20120,1,0,0,0,0.33,0.0,0.0,0.0,4,1,1.0,0.6699999999999999
alteredq,gero3,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
alteredq,idflood,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
huanghuan,idflood,20120,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
gero3,idflood,20120,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
mrdoob,nhalloran,20121,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
mrdoob,Wandalen,20140,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
felixturner,zz85,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jesseazueta,mrdoob,20170,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
chandlerprall,zz85,20120,0,2,0,0,0.0,0.25,0.0,0.0,9,1,1.0,0.75
mrdoob,zz85,20120,6,2,0,0,0.38,0.12,0.0,0.0,10,1,1.0,0.75
lanfeustxiii,zz85,20120,0,2,0,0,0.0,0.25,0.0,0.0,9,1,1.0,0.75
ghost,zz85,20120,6,0,0,0,0.75,0.0,0.0,0.0,9,1,1.0,0.75
meawoppl,zz85,20120,6,0,0,0,0.75,0.0,0.0,0.0,9,1,1.0,0.75
