name,year_week,issue_num,label
epicelite,20158,7503,20
Micr0Bit,20158,7503,20220222
obrakmann,20158,7503,2
kyrylo,20158,7503,0
pi99y,20158,7503,21
cjshmyr,20158,7503,1
ScottNZ,20158,7503,22
Nelax,20158,7503,2
pchote,20159,7503,2
Micr0Bit,201514,7503,2
RoosterDragon,20158,7504,20
abcdefg30,20158,7504,2
LipkeGu,20158,7504,2
jabbink,20159,7504,2
abcdefg30,20159,7504,1
Mailaender,20158,7505,2
UberWaffe,20158,7506,2
penev92,20158,7506,2
Micr0Bit,20158,7506,2
pevers,20158,7506,1
Micr0Bit,201535,7506,2
pi99y,201540,7506,2
pi99y,201547,7506,2
pchote,201547,7506,2
ghost,201630,7506,2
pi99y,201649,7506,1
abcdefg30,201649,7506,2
Mailaender,201650,7506,2
GraionDilach,201650,7506,0
pi99y,201650,7506,1
ibrokemypie,20175,7506,2
abcdefg30,20191,7506,2
Unit158,20158,7507,221
pevers,20158,7507,2220
pchote,20158,7507,12
obrakmann,20158,7507,21
penev92,20158,7507,2
Phrohdoh,20158,7507,2
Mailaender,20158,7507,2
pchote,20158,7509,2
Phrohdoh,20158,7509,2
reaperrr,20158,7509,2
reaperrr,201514,7509,2
GraionDilach,201527,7509,2
reaperrr,201527,7509,0
pchote,201547,7509,2
Phrohdoh,20158,7510,2
DeadlySurprise,20158,7510,2
Mailaender,20158,7510,2
obrakmann,20158,7510,22
Mailaender,20159,7510,2
Mailaender,201510,7510,22
Mailaender,201511,7510,22
abcdefg30,20158,7511,2
pchote,20158,7511,2
obrakmann,20158,7511,2
penev92,20159,7511,2
penev92,20158,7512,2
kyrreso,20158,7512,2
Mailaender,201735,7512,2
kyrreso,201738,7512,2
GraionDilach,201738,7512,0
Mailaender,201738,7512,2
penev92,20158,7513,02
chrisforbes,20158,7513,0
Phrohdoh,20158,7513,1
reaperrr,20158,7513,2
Unit158,20159,7513,2
reaperrr,20159,7513,20
penev92,20159,7513,2
pchote,20159,7513,2
Mailaender,20158,7514,2
penev92,20159,7514,0
pchote,20158,7515,2
obrakmann,20158,7515,2
LipkeGu,20159,7515,2
GeertJohan,20159,7515,22
obrakmann,20158,7516,2
pchote,20158,7516,2
penev92,20158,7516,2
reaperrr,20158,7516,2
Mailaender,20158,7516,2
pchote,20158,7517,2
obrakmann,20158,7517,2
epicelite,20158,7518,2
penev92,20158,7518,2
deniz1a,20158,7518,2
Mailaender,20158,7519,2
penev92,20159,7519,2
pchote,20158,7520,2
pchote,201540,7520,222
Mailaender,201540,7520,2
pchote,201614,7520,2
jabbink,20158,7521,2
Mailaender,20159,7521,2
obrakmann,20159,7521,22
Mailaender,20158,7522,2
obrakmann,201510,7522,0
pevers,201510,7522,2
Mailaender,201510,7522,21
deniz1a,20158,7523,2
penev92,20158,7523,2
LipkeGu,20158,7523,2
Mailaender,20159,7523,2
LipkeGu,20159,7523,2
Mailaender,20163,7523,2
Mailaender,20159,7524,22
penev92,201510,7524,202
Phrohdoh,201510,7524,2
obrakmann,201510,7524,1
Mailaender,201510,7524,2
abcdefg30,201510,7524,2
penev92,201511,7525,2
obrakmann,201511,7525,2
penev92,201512,7525,222
abcdefg30,201512,7525,0
Mailaender,201512,7525,22
pchote,20159,7526,222
penev92,20159,7526,2
Mailaender,20159,7526,22
penev92,201511,7526,22
Phrohdoh,201511,7526,20
ScottNZ,201511,7526,2
Mailaender,201512,7526,2
pchote,201512,7526,0
penev92,201512,7526,2
Phrohdoh,201512,7526,2
Mailaender,201735,7526,2
Phrohdoh,20159,7527,2
obrakmann,20159,7527,22
pevers,20159,7528,1
Phrohdoh,20159,7528,20
jabbink,20159,7528,02
deniz1a,20159,7528,2
penev92,20159,7528,2
Mailaender,201511,7528,022
Phrohdoh,201511,7528,2
jabbink,201511,7528,2
obrakmann,201511,7528,22
jabbink,20159,7529,222
Micr0Bit,20159,7529,2
Phrohdoh,20159,7529,2
chrisforbes,20159,7529,2
jabbink,201510,7529,2
obrakmann,201511,7529,2
Mailaender,201512,7529,22
pevers,20159,7530,2
chrisforbes,20159,7531,2
obrakmann,20159,7531,12
obrakmann,20159,7532,2
penev92,20159,7532,2
obrakmann,20159,7533,2
reaperrr,20159,7533,2
reaperrr,201510,7533,2
Phrohdoh,201510,7533,2
Mailaender,20159,7534,22
42foobar42,201510,7534,2
Mailaender,201512,7534,2
penev92,201516,7534,00
obrakmann,201516,7534,22
42foobar42,201516,7534,01
abcdefg30,201516,7534,2
Mailaender,201516,7534,2
abcdefg30,201517,7534,2122
42foobar42,201517,7534,012
penev92,201517,7534,2
Mailaender,201517,7534,212
penev92,20159,7535,2
obrakmann,20159,7535,2
Snurre86,201520,7536,2
Snurre86,20161,7536,2
obrakmann,20159,7537,2
Snurre86,20159,7537,2
cjshmyr,20159,7538,2
Mailaender,201512,7538,2
penev92,201512,7538,20
cjshmyr,201512,7538,12
erkro1,201512,7538,1
MustaphaTR,201512,7538,2
abcdefg30,201512,7538,22
cjshmyr,201514,7538,22
obrakmann,201514,7538,2
abcdefg30,201515,7538,22
penev92,201518,7538,202
pchote,201518,7538,222
Mailaender,201518,7538,2
abcdefg30,201518,7538,2
cjshmyr,201518,7538,2222
obrakmann,201518,7538,2
