name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
Drekin,takluyver,20141,6,0,0,0,0.5,0.0,0.0,0.0,7,1,0.5,1.0
fperez,takluyver,20141,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Carreau,takluyver,20161,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Drekin,fperez,20141,2,0,0,0,0.5,0.0,0.0,0.0,5,1,0.5,1.0
Carreau,fperez,20161,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,minrk,20111,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
fperez,minrk,20140,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
fperez,ipython,20110,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0.0,1.0
asmeurer,ipython,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
boxed,ipython,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,ipython,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
cottrell,ipython,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,minrk,20100,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
asmeurer,minrk,20111,15,0,0,0,0.71,0.0,0.0,0.0,10,1,0.71,1.0
boxed,minrk,20130,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
Carreau,minrk,20130,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
Carreau,minrk,20170,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
cottrell,minrk,20180,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
asmeurer,boxed,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
asmeurer,Carreau,20111,0,2,0,0,0.0,0.29,0.0,0.0,8,1,0.71,1.0
boxed,Carreau,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
asmeurer,Carreau,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
boxed,Carreau,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
asmeurer,cottrell,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
boxed,cottrell,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,cottrell,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,cottrell,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ipython,takluyver,20100,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
asmeurer,takluyver,20111,5,0,0,0,0.71,0.0,0.0,0.0,8,1,0.71,1.0
minrk,takluyver,20111,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
boxed,takluyver,20130,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,20130,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
Carreau,takluyver,20170,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
cottrell,takluyver,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
