name1,name2,period,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,cmt_cnt,issue_cnt,score1,score2
jgeewax,leifurhauks,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
kpayson64,leifurhauks,20160,5,0,1,0,0.56,0.0,0.11,0.0,6,1,1.0,1.0
ctiller,leifurhauks,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ictxiangxin,leifurhauks,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
leifurhauks,soltanmm,20160,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
goldenbull,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
nathanielmanistaatgoogle,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
lovfu,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jgeewax,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
kpayson64,soltanmm,20160,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
ctiller,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ictxiangxin,soltanmm,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,goldenbull,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
leifurhauks,nathanielmanistaatgoogle,20160,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,1.0
goldenbull,nathanielmanistaatgoogle,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
lovfu,nathanielmanistaatgoogle,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
jgeewax,nathanielmanistaatgoogle,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
kpayson64,nathanielmanistaatgoogle,20160,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ictxiangxin,nathanielmanistaatgoogle,20160,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
leifurhauks,lovfu,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
goldenbull,lovfu,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jgeewax,lovfu,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
kpayson64,lovfu,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ctiller,lovfu,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ictxiangxin,lovfu,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
leifurhauks,viksit,20160,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
soltanmm,viksit,20160,1,0,1,0,1.0,0.0,1.0,0.0,2,1,1.0,1.0
goldenbull,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
nathanielmanistaatgoogle,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
lovfu,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
jgeewax,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
tseaver,viksit,20160,0,1,0,0,0.0,1.0,0.0,0.0,2,1,0.0,1.0
kpayson64,viksit,20160,1,0,1,0,0.33,0.0,0.33,0.0,4,1,1.0,1.0
ctiller,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ictxiangxin,viksit,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
goldenbull,jgeewax,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jgeewax,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ictxiangxin,jgeewax,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
leifurhauks,tseaver,20160,0,1,0,0,0.0,0.33,0.0,0.0,4,1,1.0,0.0
soltanmm,tseaver,20160,0,1,0,0,0.0,1.0,0.0,0.0,2,1,1.0,0.0
goldenbull,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
nathanielmanistaatgoogle,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,0.0
lovfu,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
jgeewax,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
kpayson64,tseaver,20160,0,1,0,0,0.0,0.33,0.0,0.0,4,1,1.0,0.0
ctiller,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ictxiangxin,tseaver,20160,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
goldenbull,kpayson64,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
jgeewax,kpayson64,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ctiller,kpayson64,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
ictxiangxin,kpayson64,20160,2,0,0,0,0.67,0.0,0.0,0.0,4,1,1.0,1.0
goldenbull,ictxiangxin,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,ictxiangxin,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
murgatroid99,vjpai,20151,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
craigcitro,nathanielmanistaatgoogle,20150,0,0,0,0,0.0,0.0,0.0,0.0,4,1,1.0,1.0
craigcitro,ctiller,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20150,12,0,0,0,0.8,0.0,0.0,0.0,8,1,1.0,1.0
ctiller,nicolasnoble,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,yang-g,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
tbetbetbe,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,tbetbetbe,20150,3,0,0,0,1.0,0.0,0.0,0.0,4,1,1.0,1.0
ctiller,dklempner,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ncteisen,vjpai,20180,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,dklempner,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,murgatroid99,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,nathanielmanistaatgoogle,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
murgatroid99,nathanielmanistaatgoogle,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,murgatroid99,20150,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1.0,0.0
ctiller,yang-g,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
jboeuf,nicolasnoble,20150,0,0,0,0,0.0,0.0,0.0,0.0,3,1,1.0,1.0
dklempner,nicolasnoble,20150,4,0,0,0,0.67,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,jcanizales,20150,7,0,0,0,0.78,0.0,0.0,0.0,10,1,0.89,1.0
ctiller,murgatroid99,20150,14,0,0,0,0.78,0.0,0.0,0.0,11,1,0.89,1.0
jcanizales,murgatroid99,20150,2,0,0,0,1.0,0.0,0.0,0.0,3,1,1.0,1.0
ctiller,vjpai,20150,1,0,0,0,0.5,0.0,0.0,0.0,3,1,1.0,1.0
dklempner,vjpai,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
LisaFC,murgatroid99,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
murgatroid99,stanley-cheung,20160,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
a-veitch,ctiller,20150,0,0,0,0,0.0,0.0,0.0,0.0,5,1,1.0,1.0
ctiller,vjpai,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
dklempner,vjpai,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,dklempner,20150,1,0,0,0,1.0,0.0,0.0,0.0,2,1,1.0,1.0
ctiller,jboeuf,20150,9,0,0,0,1.0,0.0,0.0,0.0,6,1,1.0,1.0
