name1,name2,period,issue_num,p1,p2
"a-veitch","ctiller","20150","400","1","2222"
"ctiller","vjpai","20150","407","2","2"
"dklempner","vjpai","20150","407","2","2"
"ctiller","dklempner","20150","407","2","2"
"ctiller","jboeuf","20150","416","222","222"
"jboeuf","nicolasnoble","20150","416","222","2222"
"ctiller","nicolasnoble","20150","416","222","2222"
"chen-wang","ctiller","20150","429","22","022"
"ctiller","yang-g","20150","429","022","22"
"chen-wang","yang-g","20150","429","22","22"
"ctiller","jtattermusch","20150","433","2","202"
"ctiller","maxwell-demon","20150","437","22","2"
"a-veitch","maxwell-demon","20150","437","2","2"
"a-veitch","ctiller","20150","437","2","22"
"googlebot","jyang","20150","441","1","2"
"jyang","murgatroid99","20150","445","1","2"
"ctiller","vjpai","20150","447","2","2"
"ctiller","jtattermusch","20150","448","1","21"
"jtattermusch","vjpai","20160","449","2","2"
"ctiller","nathanielmanistaatgoogle","20150","453","1","11"
"nathanielmanistaatgoogle","nicolasnoble","20150","453","11","2"
"ctiller","nicolasnoble","20150","453","1","2"
"ctiller","nathanielmanistaatgoogle","20150","460","21","2"
"jboeuf","nathanielmanistaatgoogle","20150","460","2","2"
"ctiller","jboeuf","20150","460","21","2"
"nicolasnoble","vjpai","20150","464","1","2"
"nicolasnoble","vjpai","20150","465","2","2"
"ctiller","nathanielmanistaatgoogle","20151","467","22","0"
"ctiller","jboeuf","20150","471","2","2"
"jboeuf","nicolasnoble","20150","471","2","2"
"ctiller","nicolasnoble","20150","471","2","2"
"jayantkolhe","jyang","20150","472","0","22"
"ctiller","jyang","20150","472","222","22"
"ctiller","jayantkolhe","20150","472","222","0"
"jyang","vjpai","20150","472","22","22"
"jayantkolhe","vjpai","20150","472","0","22"
"ctiller","vjpai","20150","472","222","22"
"murgatroid99","vjpai","20150","472","022","22"
"jyang","murgatroid99","20150","472","22","022"
"jayantkolhe","murgatroid99","20150","472","0","022"
"ctiller","murgatroid99","20150","472","222","022"
"jyang","murgatroid99","20150","476","2","22"
"ctiller","vjpai","20150","479","2","22"
"murgatroid99","vjpai","20150","479","22","22"
"ctiller","murgatroid99","20150","479","2","22"
"ctiller","googlebot","20150","497","22","2"
"ctiller","nicolasnoble","20150","497","22","2"
"googlebot","nicolasnoble","20150","497","2","2"
"ctiller","nicolasnoble","20150","499","0","2"
"a11r","ctiller","20150","501","2","2222222"
"ctiller","vjpai","20150","501","2222222","2222222"
"a11r","vjpai","20150","501","2","2222222"
"ctiller","yang-g","20150","501","2222222","22"
"vjpai","yang-g","20150","501","2222222","22"
"a11r","yang-g","20150","501","2","22"
"ctiller","murgatroid99","20150","504","2211","202"
"jboeuf","nicolasnoble","20151","513","2","2"
"a11r","vjpai","20150","515","1","2"
"googlebot","nicolasnoble","20150","525","2","2"
"ctiller","ejona86","20150","526","2","0"
"murgatroid99","nathanielmanistaatgoogle","20151","526","22","22"
"jtattermusch","nathanielmanistaatgoogle","20151","526","2","22"
"jtattermusch","murgatroid99","20151","526","2","22"
"ejona86","nathanielmanistaatgoogle","20151","527","220","101"
"ctiller","nathanielmanistaatgoogle","20150","529","22","0"
"ctiller","nathanielmanistaatgoogle","20151","529","2","0"
"a11r","jayantkolhe","20151","537","02","2"
"jayantkolhe","nathanielmanistaatgoogle","20151","537","2","2"
"a11r","nathanielmanistaatgoogle","20151","537","02","2"
"codeandroid","jtattermusch","20150","546","00222","22202022"
"jtattermusch","nicolasnoble","20150","546","22202022","10"
"codeandroid","nicolasnoble","20150","546","00222","10"
"ctiller","nathanielmanistaatgoogle","20150","549","22","222"
"ctiller","jboeuf","20150","552","222","22112"
"jboeuf","yang-g","20150","552","22112","221"
"ctiller","yang-g","20150","552","222","221"
"ctiller","nathanielmanistaatgoogle","20150","565","2","2"
"donnadionne","googlebot","20150","568","1","1"
"ctiller","yang-g","20150","574","2","2"
"nicolasnoble","vjpai","20150","575","2","2"
"tbetbetbe","yang-g","20150","580","1","2"
"ctiller","yang-g","20150","581","2","2"
"ctiller","dklempner","20150","592","22","2"
"ctiller","dklempner","20150","597","2","1"
"murgatroid99","tbetbetbe","20150","601","2","222"
"tbetbetbe","yang-g","20150","601","222","20"
"murgatroid99","yang-g","20150","601","2","20"
"ctiller","dklempner","20150","602","21","22"
"vjpai","yang-g","20150","607","0","0"
"ctiller","vjpai","20150","611","20","0"
"googlebot","jayantkolhe","20150","619","2","0"
"jayantkolhe","jcanizales","20150","622","2","222"
"googlebot","Yhg1s","20150","626","1","220"
"nicolasnoble","Yhg1s","20150","626","1","220"
"nathanielmanistaatgoogle","Yhg1s","20150","626","0","220"
"googlebot","nicolasnoble","20150","626","1","1"
"nathanielmanistaatgoogle","nicolasnoble","20150","626","0","1"
"googlebot","nathanielmanistaatgoogle","20150","626","1","0"
"googlebot","soltanmm","20150","631","11","2"
"googlebot","tbetbetbe","20150","631","11","2"
"soltanmm","tbetbetbe","20150","631","2","2"
"nicolasnoble","tbetbetbe","20150","637","22","2"
"jtattermusch","tbetbetbe","20150","637","22222","2"
"jtattermusch","nicolasnoble","20150","637","22222","22"
"ctiller","nicolasnoble","20150","643","2","2"
"murgatroid99","tbetbetbe","20150","644","22","2"
"ctiller","googlebot","20150","645","2","12"
"jboeuf","nicolasnoble","20150","646","0","2"
"ctiller","iamqizhao","20150","649","00","0"
"iamqizhao","yang-g","20150","651","2","2"
"ctiller","jcanizales","20150","653","2","2"
"ctiller","murgatroid99","20150","659","2","0"
"ctiller","ofrobots","20150","659","2","2"
"murgatroid99","ofrobots","20150","659","0","2"
