name,density,length
huwpascoe_reaperrr,0.45454545454545453,5.0
jaZzKCS_Mailaender,0.15517241379310345,9.0
jaZzKCS_Micr0Bit,0.07407407407407407,6.0
jaZzKCS_obrakmann,0.09375,6.0
jaZzKCS_pchote,0.11560693641618497,20.0
jrb0001_pchote,0.05555555555555555,6.0
kyrreso_obrakmann,0.054945054945054944,5.0
kyrreso_pchote,0.04864864864864865,9.0
kyrylo_Mailaender,0.09090909090909091,5.0
kyrylo_Micr0Bit,0.11538461538461539,6.0
kyrylo_SoScared,0.1267605633802817,9.0
kyrylo_obrakmann,0.07317073170731707,6.0
kyrylo_pchote,0.11764705882352941,10.0
ltem_MustaphaTR,0.64,16.0
ltem_pchote,0.4074074074074074,11.0
ltem_reaperrr,0.15833333333333333,19.0
matija-hustic_obrakmann,0.3684210526315789,7.0
matija-hustic_pchote,0.45454545454545453,10.0
matija-hustic_penev92,0.5238095238095238,11.0
matija-hustic_reaperrr,0.3888888888888889,7.0
matjaeck_MustaphaTR,0.3333333333333333,5.0
matjaeck_netnazgul,0.35,7.0
matjaeck_pchote,0.3230769230769231,21.0
matjaeck_reaperrr,0.2,7.0
netnazgul_pchote,0.5714285714285714,8.0
obrakmann_Phrohdoh,0.6063829787234043,57.0
obrakmann_RoosterDragon,0.4742268041237113,46.0
obrakmann_ScottNZ,0.2,13.0
obrakmann_Snurre86,0.09345794392523364,10.0
obrakmann_SoScared,0.18867924528301888,10.0
obrakmann_Unit158,0.35714285714285715,10.0
obrakmann_pchote,0.49074074074074076,106.0
obrakmann_penev92,0.8421052631578947,48.0
obrakmann_pevers,0.30434782608695654,7.0
obrakmann_pi99y,0.12941176470588237,11.0
obrakmann_reaperrr,0.3411214953271028,73.0
obrakmann_xan2622,0.1951219512195122,16.0
paulvt_pchote,0.1875,6.0
pchote_Phrohdoh,0.4512820512820513,88.0
pchote_Punsho,0.3333333333333333,5.0
pchote_RoosterDragon,0.3641304347826087,67.0
pchote_Rydra,0.7777777777777778,7.0
pchote_ScottNZ,0.1619047619047619,17.0
pchote_ShadowA,0.09615384615384616,5.0
pchote_Smittytron,0.1523809523809524,16.0
pchote_Snurre86,0.11428571428571428,12.0
pchote_SoScared,0.2138728323699422,37.0
pchote_StormWingDelta,0.2608695652173913,6.0
pchote_TheRaffy,0.06395348837209303,11.0
pchote_UberWaffe,0.21568627450980393,11.0
pchote_Unit158,0.31313131313131315,31.0
pchote_penev92,0.40816326530612246,60.0
pchote_pi99y,0.1782178217821782,18.0
pchote_rapgro,0.0821917808219178,6.0
pchote_reaperrr,0.6759259259259259,146.0
pchote_rob-v,0.20618556701030927,20.0
pchote_teees,0.41379310344827586,12.0
pchote_tovl,0.7272727272727273,8.0
pchote_whinis,1.25,5.0
pchote_xan2622,0.2653061224489796,26.0
pchote_xp65,0.03409090909090909,6.0
pchote_yaaaaa,0.10606060606060606,14.0
penev92_Phrohdoh,0.42857142857142855,48.0
penev92_RoosterDragon,0.3829787234042553,36.0
penev92_Rydra,0.5555555555555556,5.0
penev92_ScottNZ,0.22,11.0
penev92_Snurre86,0.2222222222222222,10.0
penev92_TheRaffy,0.2,8.0
penev92_UberWaffe,0.24390243902439024,10.0
penev92_Unit158,0.5217391304347826,24.0
penev92_pevers,0.8333333333333334,5.0
penev92_pi99y,0.2558139534883721,11.0
penev92_reaperrr,0.39090909090909093,43.0
penev92_xan2622,0.32,16.0
pi99y_RoosterDragon,0.14705882352941177,5.0
reaperrr_RoosterDragon,0.2905982905982906,34.0
reaperrr_Smittytron,0.04807692307692308,5.0
reaperrr_SoScared,0.23214285714285715,13.0
reaperrr_UberWaffe,0.1568627450980392,8.0
reaperrr_Unit158,0.07857142857142857,11.0
reaperrr_rob-v,0.8,12.0
reaperrr_yaaaaa,0.03816793893129771,5.0
