"name1","name2","year_week","issue_num","p1","p2"
"ihptru","Unit158","20157","7465","0","22"
"LipkeGu","Unit158","20157","7465","2","22"
"GeertJohan","ihptru","20157","7465","02","0"
"GeertJohan","LipkeGu","20157","7465","02","2"
"ihptru","LipkeGu","20157","7465","0","2"
"cjshmyr","MustaphaTR","20157","7466","2","1"
"MustaphaTR","Unit158","20157","7466","1","2"
"cjshmyr","Unit158","20157","7466","2","2"
"Phrohdoh","Unit158","20157","7466","2","2"
"MustaphaTR","Phrohdoh","20157","7466","1","2"
"cjshmyr","Phrohdoh","20157","7466","2","2"
"GraionDilach","xan2622","201526","7466","22","2"
"penev92","xan2622","201526","7466","2","2"
"GraionDilach","penev92","201526","7466","22","2"
"GeertJohan","ScottNZ","20157","7467","202","2"
"pchote","ScottNZ","20157","7467","2","2"
"penev92","ScottNZ","20157","7467","2","2"
"Phrohdoh","ScottNZ","20157","7467","21","2"
"GeertJohan","pchote","20157","7467","202","2"
"GeertJohan","penev92","20157","7467","202","2"
"pchote","penev92","20157","7467","2","2"
"GeertJohan","Phrohdoh","20157","7467","202","21"
"pchote","Phrohdoh","20157","7467","2","21"
"penev92","Phrohdoh","20157","7467","2","21"
"MunWolf","penev92","20157","7468","1","2222"
"Mailaender","penev92","20157","7468","2","2222"
"Mailaender","MunWolf","20157","7468","2","1"
"obrakmann","pchote","20159","7468","20","2"
"MustaphaTR","penev92","20157","7469","2","2"
"matija-hustic","Phrohdoh","201521","7469","2","2"
"Mailaender","penev92","20157","7471","1","2"
"Phrohdoh","xan2622","20157","7474","222","2222"
"penev92","xan2622","20157","7474","02","2222"
"Mailaender","xan2622","20157","7474","01222","2222"
"pchote","xan2622","20157","7474","22","2222"
"penev92","Phrohdoh","20157","7474","02","222"
"Mailaender","Phrohdoh","20157","7474","01222","222"
"pchote","Phrohdoh","20157","7474","22","222"
"Mailaender","penev92","20157","7474","01222","02"
"pchote","penev92","20157","7474","22","02"
"Mailaender","pchote","20157","7474","01222","22"
"dan9550","xan2622","20158","7474","022","102"
"Mailaender","xan2622","20158","7474","22","102"
"Phrohdoh","xan2622","20158","7474","2","102"
"dan9550","Mailaender","20158","7474","022","22"
"dan9550","Phrohdoh","20158","7474","022","2"
"Mailaender","Phrohdoh","20158","7474","22","2"
"Mailaender","xan2622","20159","7474","22","2"
"Phrohdoh","xan2622","20159","7474","2","2"
"Mailaender","Phrohdoh","20159","7474","22","2"
"abcdefg30","Mailaender","20157","7475","11","2"
"abcdefg30","pchote","20157","7475","11","2"
"Mailaender","pchote","20157","7475","2","2"
"abcdefg30","obrakmann","20159","7475","21","222"
"abcdefg30","Unit158","201517","7475","2","2"
"pchote","Unit158","201517","7475","2","2"
"abcdefg30","pchote","201517","7475","2","2"
"abcdefg30","Phrohdoh","201518","7475","222","2"
"pchote","Phrohdoh","201518","7475","12","2"
"obrakmann","Phrohdoh","201518","7475","1","2"
"abcdefg30","pchote","201518","7475","222","12"
"obrakmann","pchote","201518","7475","1","12"
"abcdefg30","obrakmann","201518","7475","222","1"
"abcdefg30","pchote","20158","7476","2","0"
"abcdefg30","Phrohdoh","20158","7476","2","2"
"pchote","Phrohdoh","20158","7476","0","2"
"abcdefg30","obrakmann","20159","7476","2","01"
"abcdefg30","Phrohdoh","201510","7476","2","2"
"Mailaender","Phrohdoh","201510","7476","2","2"
"abcdefg30","Mailaender","201510","7476","2","2"
"Mailaender","pchote","20157","7477","20","222"
"Mailaender","pchote","20158","7477","22","2222"
"Mailaender","penev92","20158","7477","22","02"
