name1,name2,period,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
Carreau,tot0,20181,1.0,1.0,1,0,1,0,1,2
Carreau,treyhunner,20181,0.8,1.0,12,2,4,0,1,13
Carreau,tsela,20181,1.0,0.5,0,1,0,0,2,5
Carreau,tushar629,20181,1.0,0.0,0,0,0,0,1,2
Carreau,uderani,20181,1.0,0.5,0,1,0,0,1,3
Carreau,user3477071,20181,1.0,1.0,1,0,0,0,1,2
Carreau,victor-eds,20181,1.0,1.0,1,0,0,0,1,3
Carreau,wangliangster,20181,0.0,1.0,0,1,0,0,1,2
Carreau,westurner,20181,0.9266666666666667,1.0,46,0,1,0,3,29
Carreau,williamjameshandley,20181,1.0,1.0,0,0,0,0,1,4
Carreau,willingc,20181,0.9575,1.0,19,0,3,0,4,26
Carreau,xapple,20181,1.0,1.0,1,0,0,0,2,4
Carreau,xeor,20181,1.0,0.0,0,0,0,0,1,2
Carreau,yarko,20181,1.0,1.0,3,0,1,0,1,5
Carreau,yo-ga,20181,1.0,1.0,4,0,0,0,1,7
Carreau,zakora,20181,1.0,1.0,0,0,0,0,2,5
CathyQian,IMBurbank,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,JulesGM,20181,1.0,1.0,3,0,0,0,1,4
CathyQian,esha-sg,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,lancekrogers,20181,1.0,0.0,0,0,0,0,1,2
CathyQian,metya,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,minrk,20181,1.0,0.75,3,0,0,0,2,6
CathyQian,nealmcb,20181,1.0,1.0,0,0,0,0,1,2
CathyQian,patricktokeeffe,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,pfmoore,20181,1.0,1.0,0,0,0,0,1,2
CathyQian,rajulah,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,takluyver,20181,1.0,1.0,1,0,0,0,1,2
CathyQian,wmayner,20181,1.0,1.0,1,0,0,0,1,2
Chichilele,Leegenux,20181,1.0,1.0,1,0,1,0,1,2
Chichilele,OussamaSegh,20181,1.0,1.0,1,0,1,0,1,2
Chichilele,gluincth,20181,1.0,1.0,1,0,1,0,1,2
Chichilele,minrk,20181,1.0,0.5,0,1,0,0,1,3
Chichilele,mlazowik,20181,1.0,1.0,0,0,0,0,1,2
Chichilele,naoko,20181,1.0,1.0,1,0,1,0,1,2
Chichilele,tigerneil,20181,1.0,1.0,0,0,0,0,1,2
ChihChiu29,SurealCereal,20181,1.0,1.0,1,0,0,0,1,2
ChihChiu29,patricksilva,20181,1.0,1.0,1,0,0,0,1,2
Deborah-Digges,hatarist,20181,1.0,0.5,1,1,0,0,1,4
Deborah-Digges,tebeka,20181,1.0,1.0,1,0,1,0,1,3
Deborah-Digges,treyhunner,20181,1.0,1.0,3,0,1,0,1,5
Evidlo,ShawnFumo,20181,1.0,1.0,2,0,0,0,1,3
Evidlo,jankukacka,20181,1.0,1.0,2,0,0,0,1,3
Evidlo,takluyver,20181,1.0,1.0,4,0,0,0,2,6
Evidlo,yuezhilanyi,20181,1.0,1.0,2,0,0,0,1,3
Goblin80,hhsieh,20181,1.0,1.0,2,0,0,0,1,3
Goblin80,ksens,20181,1.0,1.0,1,0,0,0,1,2
Goblin80,minrk,20181,1.0,1.0,2,0,0,0,1,3
Goblin80,ubani,20181,1.0,1.0,1,0,0,0,1,2
IMBurbank,JulesGM,20181,1.0,1.0,3,0,0,0,1,4
IMBurbank,lancekrogers,20181,1.0,0.0,0,0,0,0,1,2
IMBurbank,metya,20181,1.0,1.0,1,0,0,0,1,2
IMBurbank,minrk,20181,1.0,0.75,3,0,0,0,2,6
IMBurbank,nealmcb,20181,1.0,1.0,0,0,0,0,1,2
IMBurbank,patricktokeeffe,20181,1.0,1.0,1,0,0,0,1,2
IMBurbank,pfmoore,20181,1.0,1.0,0,0,0,0,1,2
IMBurbank,rajulah,20181,1.0,1.0,1,0,0,0,1,2
IMBurbank,takluyver,20181,1.0,1.0,1,0,0,0,1,2
IMBurbank,wmayner,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,MehrdadDS,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,RishabhVerma098,20181,1.0,1.0,0,0,0,0,1,2
JaceRyczak,Sophie-Germain,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,Zitihskx,20181,1.0,0.0,0,0,0,0,1,2
JaceRyczak,kHimanshu1,20181,1.0,1.0,2,0,0,0,2,4
JaceRyczak,khamiruf,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,kurt-rhee,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,nmaiorana,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,s13varun,20181,1.0,1.0,5,0,0,0,1,6
JaceRyczak,sasuketeam7,20181,1.0,0.0,0,0,0,0,1,2
JaceRyczak,stmax82,20181,1.0,1.0,1,0,0,0,1,2
JaceRyczak,takluyver,20181,1.0,1.0,5,0,0,0,2,7
JackieMium,mosrosem,20181,1.0,1.0,2,0,0,0,1,3
JackieMium,rbeucher,20181,1.0,1.0,1,0,0,0,1,2
KashiErez,LiranDan,20181,1.0,1.0,1,0,0,0,1,2
KashiErez,qt1,20181,1.0,1.0,1,0,0,0,1,2
KashiErez,shahardo,20181,1.0,1.0,0,0,0,0,1,2
KashiErez,shovalsa,20181,1.0,1.0,0,0,0,0,1,2
KashiErez,takluyver,20181,1.0,0.83,5,0,0,0,1,7
KashiErez,tyanay,20181,1.0,1.0,1,0,0,0,1,3
KrishnaMohanRavilla,Sapna714,20181,0.5,0.0,1,0,0,1,1,3
KrishnaMohanRavilla,patelmohitj91,20181,0.5,1.0,2,1,0,0,1,5
KrishnaMohanRavilla,takluyver,20181,0.5,0.75,4,0,0,1,1,6
LightHub01,Mazior,20181,1.0,1.0,0,0,0,0,1,3
LightHub01,NicoSabbath,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,XuuLiu,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,liwg06,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,musiscient,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,nakpok6,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,pawanvirsingh,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,pranayj78,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,rbhambriiit,20181,1.0,1.0,1,0,1,0,1,2
LightHub01,rtdew1,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,sallylee2017,20181,1.0,1.0,1,0,1,0,1,4
LightHub01,takluyver,20181,1.0,0.5,0,1,0,0,2,5
LightHub01,tpoisot,20181,1.0,1.0,0,0,0,0,1,2
LightHub01,wmvoje,20181,1.0,1.0,0,0,0,0,1,2
LilisSyarifah,Pedrosorio99,20181,1.0,1.0,3,0,3,0,1,4
LilisSyarifah,takluyver,20181,1.0,1.0,1,0,1,0,1,3
LucianaMarques,minrk,20181,1.0,1.0,1,0,0,0,1,2
LucianaMarques,oldani,20181,1.0,1.0,1,0,0,0,1,2
