name1,name2,date,consist_rate,inconsist_rate,pos_consist_rate,neg_consist_rate,score1,score2,consist_cnt,inconsist_cnt,pos_consist_cnt,neg_consist_cnt,issue_cnt,cmt_cnt
Amarchuk,anderspitman,2014-06-16,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Amarchuk,takluyver,2014-04-14,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AnIrishDuck,takluyver,2013-05-13,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AnIrishDuck,takluyver,2013-06-03,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,2
AndreWin,ivanov,2016-10-31,0.33,0.0,0.33,0.0,1.0,1.0,1,0,1,0,1,4
AndreWin,takluyver,2016-10-31,0.67,0.0,0.0,0.0,1.0,1.0,2,0,0,0,1,4
AndreaOrru,tacaswell,2016-10-03,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
AndrewHoos,kemathur,2016-08-15,1.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,1,2
Anne623,Carreau,2016-08-08,1.0,0.0,1.0,0.0,1.0,1.0,6,0,6,0,1,5
Anne623,willingc,2016-08-08,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,1,4
AnneTheAgile,takluyver,2014-11-03,0.0,0.0,0.0,0.0,0.5,1.0,0,0,0,0,1,6
Apteryks,Carreau,2017-05-29,1.0,0.0,1.0,0.0,1.0,1.0,1,0,1,0,1,2
AraHaan,arman00,2017-08-21,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
AraHaan,ivanov,2017-08-21,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0,1,2
Aradan,takluyver,2015-04-20,0.58,0.03,0.0,0.03,0.83,0.83,21,1,0,1,1,12
ArcTanSusan,Carreau,2013-11-25,0.5,0.0,0.0,0.0,1.0,0.5,1,0,0,0,2,6
